ICL Group PE Ratio Historical Data,ICL Group PE Ratio Historical Data,ICL Group PE Ratio Historical Data,ICL Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.06,,12.3
2024-06-30,4.23,$0.33,12.82
2024-03-31,5.32,$0.37,14.38
2023-12-31,4.91,$0.51,9.62
2023-09-30,5.23,$0.71,7.37
2023-06-30,4.97,$1.09,4.56
2023-03-31,5.74,$1.40,4.1
2022-12-31,5.75,$1.67,3.45
2022-09-30,5.84,$1.63,3.58
2022-06-30,5.91,$1.31,4.51
2022-03-31,7.32,$0.98,7.47
2021-12-31,5.64,$0.60,9.4
2021-09-30,4.11,$0.44,9.35
2021-06-30,3.79,$0.31,12.23
2021-03-31,3.19,$0.07,45.53
2020-12-31,2.76,$0.01,275.79
2020-09-30,1.88,$-0.00,0.0
2020-06-30,1.6,$0.06,26.65
2020-03-31,1.57,$0.31,5.07
2019-12-31,2.41,$0.37,6.52
2019-09-30,2.43,$0.39,6.23
2019-06-30,2.42,$0.39,6.2
2019-03-31,2.41,$0.35,6.89
2018-12-31,2.53,$0.97,2.61
2018-09-30,2.61,$1.03,2.53
2018-06-30,1.93,$1.00,1.93
2018-03-31,1.73,$0.96,1.8
2017-12-31,1.63,$0.28,5.81
2017-09-30,1.77,$0.19,9.31
2017-06-30,1.88,$-0.15,0.0
2017-03-31,1.6,$-0.10,0.0
2016-12-31,1.53,$-0.10,0.0
2016-09-30,1.43,$-0.05,0.0
2016-06-30,1.42,$0.32,4.43
2016-03-31,1.48,$0.29,5.1
2015-12-31,1.4,$0.41,3.41
2015-09-30,1.77,$0.33,5.35
2015-06-30,2.39,$0.37,6.46
