Valley National Bancorp PE Ratio Historical Data,Valley National Bancorp PE Ratio Historical Data,Valley National Bancorp PE Ratio Historical Data,Valley National Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.51,,13.39
2024-06-30,6.89,$0.71,9.71
2024-03-31,7.73,$0.85,9.1
2023-12-31,10.4,$0.95,10.95
2023-09-30,8.11,$1.16,6.99
2023-06-30,7.26,$1.23,5.9
2023-03-31,8.54,$1.14,7.49
2022-12-31,10.33,$1.13,9.14
2022-09-30,9.77,$1.06,9.22
2022-06-30,9.33,$1.01,9.24
2022-03-31,11.55,$1.12,10.31
2021-12-31,12.1,$1.13,10.71
2021-09-30,11.62,$1.11,10.46
2021-06-30,11.61,$1.07,10.85
2021-03-31,11.79,$1.01,11.67
2020-12-31,8.3,$0.83,10.0
2020-09-30,5.76,$0.82,7.03
2020-06-30,6.48,$0.79,8.21
2019-12-31,9.23,$0.89,10.37
2019-09-30,8.68,$1.01,8.59
2019-06-30,8.52,$0.98,8.7
2019-03-31,7.49,$0.96,7.81
2018-12-31,6.87,$0.84,8.18
2020-03-31,5.98,$0.74,8.08
2018-09-30,8.61,$0.62,13.88
2018-06-30,9.22,$0.56,16.46
2018-03-31,9.36,$0.53,17.66
2017-12-31,8.36,$0.58,14.41
2017-09-30,8.89,$0.68,13.08
2017-06-30,8.63,$0.70,12.33
2017-03-31,8.54,$0.67,12.75
2016-12-31,8.35,$0.64,13.05
2016-09-30,6.92,$0.46,15.03
2016-06-30,6.41,$0.45,14.24
2016-03-31,6.62,$0.44,15.05
2015-12-31,6.76,$0.43,15.72
2015-09-30,6.68,$0.53,12.6
2015-06-30,6.92,$0.52,13.3
2015-03-31,6.27,$0.53,11.82
2014-12-31,6.37,$0.57,11.18
2014-09-30,6.28,$0.66,9.52
2014-06-30,6.36,$0.66,9.63
2014-03-31,6.61,$0.68,9.71
2013-12-31,6.35,$0.70,9.07
2013-09-30,6.18,$0.70,8.82
2013-06-30,5.79,$0.73,7.93
2012-12-31,5.5,$0.73,7.52
2012-09-30,5.82,$0.68,8.51
2012-06-30,6.07,$0.64,9.41
2012-03-31,6.72,$0.67,9.97
2011-12-31,6.34,$0.71,8.89
2013-03-31,6.15,$0.77,7.98
2011-09-30,5.35,$0.83,6.45
2011-06-30,6.78,$0.81,8.37
2011-03-31,6.4,$0.79,8.1
2010-12-31,6.48,$0.74,8.75
2010-09-30,5.78,$0.68,8.49
2010-06-30,6.03,$0.66,9.13
2010-03-31,6.32,$0.52,12.15
2009-12-31,5.74,$0.56,10.27
