Yum China PE Ratio Historical Data,Yum China PE Ratio Historical Data,Yum China PE Ratio Historical Data,Yum China PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,43.37,,20.95
2024-06-30,30.69,$2.07,14.83
2024-03-31,39.42,$1.99,19.81
2023-12-31,41.88,$1.96,21.37
2023-09-30,54.84,$1.86,29.48
2023-06-30,55.47,$1.77,31.34
2023-03-31,62.09,$1.50,41.4
2022-12-31,53.42,$1.05,50.87
2022-09-30,46.16,$2.02,22.85
2022-06-30,47.18,$1.77,26.66
2022-03-31,40.3,$1.99,20.25
2021-12-31,48.23,$2.29,21.06
2021-09-30,56.1,$1.54,36.43
2021-06-30,63.83,$2.40,26.6
2021-03-31,56.95,$2.32,24.55
2020-12-31,54.8,$1.95,28.1
2020-09-30,50.72,$1.83,27.72
2020-06-30,46.05,$1.31,35.15
2020-03-31,40.84,$1.43,28.56
2019-12-31,45.87,$1.84,24.93
2019-09-30,43.28,$1.80,24.05
2019-06-30,43.89,$1.73,25.37
2019-03-31,42.53,$1.63,26.09
2018-12-31,31.66,$1.78,17.79
2018-09-30,33.04,$1.36,24.3
2018-06-30,36.1,$1.29,27.98
2018-03-31,38.85,$0.93,41.78
2017-12-31,37.38,$0.74,50.51
2017-03-31,25.34,$1.24,20.44
