First American Financial PE Ratio Historical Data,First American Financial PE Ratio Historical Data,First American Financial PE Ratio Historical Data,First American Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,67.21,,35.94
2024-06-30,53.51,$1.87,28.61
2024-03-31,59.94,$2.09,28.68
2023-12-31,62.68,$2.08,30.14
2023-09-30,54.48,$2.27,24.0
2023-06-30,54.52,$2.31,23.6
2023-03-31,52.74,$1.99,26.5
2022-12-31,49.12,$2.43,20.21
2022-09-30,42.83,$4.24,10.1
2022-06-30,48.68,$8.22,5.92
2022-03-31,59.13,$9.93,5.95
2021-12-31,70.8,$11.15,6.35
2021-09-30,60.28,$11.31,5.33
2021-06-30,55.64,$8.93,6.23
2021-03-31,50.19,$7.73,6.49
2020-12-31,45.34,$6.18,7.34
2020-09-30,44.28,$5.66,7.82
2020-06-30,41.42,$5.69,7.28
2020-03-31,36.27,$5.81,6.24
2019-12-31,49.56,$6.23,7.95
2019-09-30,49.81,$5.07,9.82
2019-06-30,45.01,$4.76,9.46
2019-03-31,42.82,$4.49,9.54
2018-12-31,36.81,$4.19,8.79
2018-09-30,42.15,$5.34,7.89
2018-06-30,41.95,$4.19,10.01
2018-03-31,47.25,$3.91,12.08
2017-12-31,44.83,$3.76,11.92
2017-09-30,39.7,$2.53,15.69
2017-06-30,35.22,$3.30,10.67
2017-03-31,30.72,$3.13,9.81
2016-12-31,28.39,$3.08,9.22
2016-09-30,30.16,$3.09,9.76
2016-06-30,30.64,$2.82,10.87
2016-03-31,28.84,$2.75,10.49
2015-12-31,26.98,$2.62,10.3
2015-09-30,29.17,$2.62,11.13
2015-06-30,27.6,$2.67,10.34
2015-03-31,26.28,$2.29,11.48
2014-12-31,24.79,$2.15,11.53
2014-09-30,19.69,$1.89,10.42
2014-06-30,20.0,$1.74,11.5
2014-03-31,18.95,$1.58,11.99
2013-12-31,20.03,$1.71,11.72
2013-09-30,17.22,$2.08,8.28
2013-06-30,15.5,$2.44,6.35
2013-03-31,17.89,$2.81,6.37
2012-12-31,16.77,$2.77,6.05
2012-09-30,15.01,$2.30,6.53
2012-06-30,11.71,$1.55,7.55
2012-03-31,11.42,$1.17,9.76
2011-12-31,8.66,$0.73,11.86
2011-09-30,8.71,$0.79,11.02
2011-06-30,10.6,$0.90,11.78
2011-03-31,11.13,$0.92,12.1
