Elbit Systems PE Ratio Historical Data,Elbit Systems PE Ratio Historical Data,Elbit Systems PE Ratio Historical Data,Elbit Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,212.25,,39.02
2024-06-30,176.21,$5.44,32.39
2024-03-31,208.64,$5.08,41.07
2023-12-31,211.64,$4.83,43.82
2023-09-30,195.56,$6.07,32.22
2023-06-30,206.41,$5.97,34.57
2023-03-31,167.26,$6.39,26.17
2022-12-31,161.19,$6.18,26.08
2022-09-30,185.84,$4.45,41.76
2022-06-30,224.12,$5.27,42.53
2022-03-31,214.42,$5.75,37.29
2021-12-31,169.36,$6.20,27.32
2021-09-30,140.5,$7.55,18.61
2021-06-30,125.47,$5.85,21.45
2021-03-31,137.39,$5.57,24.67
2020-12-31,125.67,$5.37,23.4
2020-09-30,115.18,$5.00,23.04
2020-06-30,130.79,$6.25,20.93
2020-03-31,121.13,$5.45,22.23
2019-12-31,147.1,$5.19,28.34
2019-09-30,155.88,$4.06,38.39
2019-06-30,141.05,$3.93,35.89
2019-03-31,121.34,$4.86,24.97
2018-12-31,106.88,$4.84,22.08
2018-09-30,117.23,$6.43,18.23
2018-06-30,110.52,$6.37,17.35
2018-03-31,112.32,$5.68,19.78
2017-12-31,123.15,$5.59,22.03
2017-09-30,135.47,$5.54,24.45
2017-06-30,113.61,$5.58,20.36
2017-03-31,103.96,$5.39,19.29
2016-12-31,92.84,$5.54,16.76
2016-09-30,86.98,$5.44,15.99
2016-06-30,82.24,$5.12,16.06
2016-03-31,84.45,$4.91,17.2
2015-12-31,79.2,$4.73,16.75
2015-09-30,66.62,$4.29,15.53
2015-06-30,69.56,$3.95,17.61
2015-03-31,63.9,$3.92,16.3
2014-12-31,53.48,$4.01,13.34
2014-09-30,54.37,$3.99,13.63
2014-06-30,53.57,$4.34,12.34
2014-03-31,52.78,$4.48,11.78
2013-12-31,52.35,$4.33,12.09
2013-09-30,45.84,$4.68,9.8
2013-06-30,35.84,$4.46,8.03
2013-03-31,35.43,$4.19,8.46
2012-12-31,33.63,$3.98,8.45
2012-09-30,28.09,$2.31,12.16
2012-06-30,28.27,$2.21,12.79
2012-03-31,31.22,$2.21,14.13
2011-12-31,32.9,$2.09,15.74
2011-09-30,31.7,$3.41,9.3
2011-06-30,37.8,$3.61,10.47
2011-03-31,43.25,$3.75,11.53
2010-12-31,41.36,$4.25,9.73
2010-09-30,40.98,$4.48,9.15
2010-06-30,38.58,$4.78,8.07
2010-03-31,48.8,$5.13,9.51
2009-12-31,49.32,$5.00,9.86
