Snap PE Ratio Historical Data,Snap PE Ratio Historical Data,Snap PE Ratio Historical Data,Snap PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.46,,0.0
2024-06-30,16.61,$-0.72,0.0
2024-03-31,11.48,$-0.81,0.0
2023-12-31,16.93,$-0.83,0.0
2023-09-30,8.91,$-0.86,0.0
2023-06-30,11.84,$-0.85,0.0
2023-03-31,11.21,$-0.87,0.0
2022-12-31,8.95,$-0.88,0.0
2022-09-30,9.82,$-0.69,0.0
2022-06-30,13.13,$-0.52,0.0
2022-03-31,35.99,$-0.36,0.0
2021-12-31,47.03,$-0.33,0.0
2021-09-30,73.87,$-0.42,0.0
2021-06-30,68.14,$-0.51,0.0
2021-03-31,52.29,$-0.64,0.0
2020-12-31,50.07,$-0.66,0.0
2020-09-30,26.11,$-0.75,0.0
2020-06-30,23.49,$-0.77,0.0
2020-03-31,11.89,$-0.73,0.0
2019-12-31,16.33,$-0.75,0.0
2019-09-30,15.8,$-0.72,0.0
2019-06-30,14.3,$-0.81,0.0
2019-03-31,11.02,$-0.89,0.0
2018-12-31,5.51,$-0.96,0.0
2018-09-30,8.48,$-1.10,0.0
2018-06-30,13.09,$-1.21,0.0
2018-03-31,15.87,$-1.30,0.0
2017-12-31,14.61,$-3.31,0.0
