Core & Main PE Ratio Historical Data,Core & Main PE Ratio Historical Data,Core & Main PE Ratio Historical Data,Core & Main PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,45.95,,21.99
2024-07-31,53.47,$2.09,25.58
2024-04-30,56.47,$1.98,28.52
2024-01-31,41.31,$1.80,22.95
2023-10-31,30.08,$2.11,14.26
2023-04-30,26.06,$2.13,12.23
2023-01-31,22.07,$2.13,10.36
2022-10-31,23.58,$2.10,11.23
2022-07-31,24.14,$1.84,13.12
2022-04-30,23.76,$1.03,23.07
2022-01-31,24.05,$1.19,20.21
