Hilton Grand Vacations PE Ratio Historical Data,Hilton Grand Vacations PE Ratio Historical Data,Hilton Grand Vacations PE Ratio Historical Data,Hilton Grand Vacations PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.76,,27.1
2024-06-30,40.43,$1.43,28.27
2024-03-31,47.21,$2.12,22.27
2023-12-31,40.18,$2.80,14.35
2023-09-30,40.7,$2.85,14.28
2023-06-30,45.44,$3.26,13.94
2023-03-31,44.43,$3.15,14.1
2022-12-31,38.54,$2.93,13.15
2022-09-30,32.89,$2.88,11.42
2022-06-30,35.73,$2.54,14.07
2022-03-31,52.01,$2.04,25.5
2021-12-31,52.11,$1.54,33.84
2021-09-30,47.57,$-0.89,0.0
2021-06-30,41.39,$-1.87,0.0
2021-03-31,37.49,$-2.53,0.0
2020-12-31,31.35,$-2.36,0.0
2020-09-30,20.98,$0.28,74.93
2020-06-30,19.55,$0.95,20.58
2020-03-31,15.77,$1.94,8.13
2019-12-31,34.39,$2.43,14.15
2019-09-30,32.0,$2.84,11.27
2019-06-30,31.82,$2.67,11.92
2019-03-31,30.85,$3.34,9.24
2018-12-31,26.39,$3.06,8.62
2018-09-30,33.1,$3.65,9.07
2018-06-30,34.7,$3.66,9.48
2018-03-31,43.02,$3.07,14.01
2017-12-31,41.95,$3.28,12.79
