Southern Copper PE Ratio Historical Data,Southern Copper PE Ratio Historical Data,Southern Copper PE Ratio Historical Data,Southern Copper PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,111.99,,31.76
2024-06-30,106.5,$3.53,30.2
2024-03-31,104.21,$3.01,34.63
2023-12-31,83.37,$3.11,26.83
2023-09-30,71.92,$3.69,19.48
2023-06-30,67.72,$3.56,19.01
2023-03-31,71.08,$3.41,20.82
2022-12-31,55.54,$3.38,16.41
2022-09-30,40.86,$3.30,12.4
2022-06-30,44.69,$3.74,11.95
2022-03-31,66.56,$4.38,15.18
2021-12-31,53.31,$4.35,12.24
2021-09-30,47.7,$4.04,11.81
2021-06-30,53.93,$3.57,15.09
2021-03-31,56.41,$2.71,20.8
2020-12-31,53.67,$2.01,26.71
2020-09-30,36.97,$1.65,22.37
2020-06-30,32.19,$1.50,21.4
2020-03-31,22.66,$1.68,13.47
2019-12-31,33.76,$1.90,17.76
2019-09-30,26.83,$1.88,14.27
2019-06-30,30.54,$1.86,16.41
2019-03-31,30.86,$1.87,16.5
2018-12-31,23.6,$1.98,11.93
2018-09-30,32.76,$1.60,20.44
2018-06-30,35.29,$1.64,21.48
2018-03-31,40.56,$1.50,26.96
2017-12-31,35.29,$1.31,27.01
2017-09-30,29.41,$1.52,19.29
2017-06-30,25.52,$1.27,20.14
2017-03-31,26.36,$1.17,22.57
2016-12-31,23.41,$1.00,23.42
2016-09-30,19.24,$0.86,22.34
2016-06-30,19.7,$0.72,27.26
2016-03-31,20.2,$0.80,25.19
2015-12-31,19.01,$0.91,20.88
2015-09-30,19.42,$1.26,15.45
2015-06-30,21.3,$1.52,13.97
2015-03-31,21.07,$1.55,13.56
2014-12-31,20.29,$1.59,12.74
2014-09-30,21.25,$1.64,12.93
2014-06-30,21.68,$1.66,13.04
2014-03-31,20.71,$1.70,12.17
2013-12-31,20.35,$1.90,10.71
2013-09-30,19.23,$2.05,9.39
2013-06-30,19.41,$1.90,10.21
2013-03-31,26.25,$2.12,12.39
2012-12-31,26.29,$2.26,11.65
2012-09-30,22.14,$2.27,9.77
2012-06-30,20.16,$2.78,7.24
2012-03-31,19.94,$2.89,6.89
2011-12-31,18.87,$2.72,6.94
2011-09-30,15.29,$2.65,5.76
2011-06-30,19.72,$2.30,8.57
2011-03-31,23.79,$1.90,12.52
2010-12-31,28.43,$1.79,15.86
2010-09-30,20.29,$1.65,12.33
2010-06-30,15.15,$1.59,9.55
2010-03-31,17.81,$1.43,12.45
2009-12-31,17.97,$1.08,16.68
