Sociedad Quimica Y Minera S.A PE Ratio Historical Data,Sociedad Quimica Y Minera S.A PE Ratio Historical Data,Sociedad Quimica Y Minera S.A PE Ratio Historical Data,Sociedad Quimica Y Minera S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.6,,350.91
2024-06-30,40.75,$0.11,370.45
2024-03-31,48.94,$1.39,35.21
2023-12-31,59.96,$7.05,8.5
2023-09-30,58.08,$10.37,5.6
2023-06-30,70.0,$12.54,5.58
2023-03-31,74.83,$13.52,5.53
2022-12-31,73.71,$13.68,5.39
2022-09-30,81.14,$10.78,7.53
2022-06-30,73.19,$7.30,10.03
2022-03-31,73.08,$4.60,15.89
2021-12-31,43.05,$2.07,20.8
2021-09-30,44.62,$1.19,37.49
2021-06-30,39.09,$0.83,47.09
2021-03-31,43.58,$0.71,61.38
2020-12-31,40.31,$0.62,65.02
2020-09-30,26.35,$0.62,42.49
2020-06-30,21.19,$0.84,25.22
2020-03-31,18.0,$0.92,19.56
2019-12-31,21.3,$1.06,20.1
2019-09-30,21.96,$1.22,18.0
2019-06-30,24.32,$1.31,18.56
2019-03-31,29.42,$1.55,18.98
2018-12-31,29.32,$1.67,17.56
2018-09-30,34.61,$1.68,20.6
2018-06-30,35.94,$1.79,20.08
2018-03-31,35.95,$1.66,21.66
2017-12-31,43.43,$1.62,26.81
2017-09-30,40.36,$1.51,26.73
2017-06-30,23.76,$1.29,18.42
2017-03-31,24.31,$1.23,19.76
2016-12-31,20.26,$1.06,19.12
2016-09-30,18.52,$0.92,20.13
2016-06-30,17.02,$0.76,22.4
2016-03-31,13.73,$0.76,18.07
2015-12-31,12.7,$0.81,15.68
2015-09-30,9.53,$0.94,10.14
2015-06-30,10.5,$1.14,9.21
2015-03-31,11.88,$1.09,10.9
2014-12-31,15.54,$1.13,13.75
2014-09-30,16.73,$1.09,15.35
2014-06-30,18.23,$1.37,13.3
2014-03-31,19.65,$1.68,11.7
2013-12-31,16.03,$1.91,8.39
2013-09-30,18.47,$2.28,8.1
2013-03-31,33.4,$2.48,13.47
2012-12-31,34.72,$2.47,14.06
2012-09-30,36.61,$2.53,14.47
2012-06-30,33.07,$2.44,13.55
2012-03-31,34.71,$2.21,15.7
2011-12-31,31.86,$2.06,15.46
2011-09-30,28.01,$1.86,15.06
2011-06-30,37.91,$1.68,22.57
2011-03-31,32.25,$1.58,20.41
2010-12-31,34.1,$1.45,23.52
2010-09-30,28.02,$1.34,20.91
2010-06-30,18.94,$1.39,13.63
2010-03-31,21.61,$1.30,16.62
2009-12-31,21.71,$1.33,16.32
2013-06-30,24.42,$1.37,17.83
