Petroleo Brasileiro S.A.- Petrobras PE Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras PE Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras PE Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.01,,5.25
2024-06-30,13.64,$2.48,5.5
2024-03-31,14.9,$3.44,4.33
2023-12-31,15.28,$3.82,4.0
2023-09-30,13.71,$4.12,3.33
2023-06-30,12.37,$4.62,2.68
2023-03-31,9.28,$5.40,1.72
2022-12-31,9.29,$5.60,1.66
2022-09-30,11.08,$5.20,2.13
2022-06-30,10.63,$4.78,2.22
2022-03-31,13.98,$3.12,4.48
2021-12-31,10.11,$1.76,5.74
2021-09-30,10.0,$-0.58,0.0
2021-03-31,8.25,$-1.50,0.0
2020-09-30,6.8,$-1.16,0.0
2020-03-31,5.21,$-0.38,0.0
2019-12-31,14.42,$1.26,11.44
2019-09-30,12.45,$1.34,9.29
2019-06-30,13.36,$1.24,10.77
2019-03-31,13.39,$0.93,14.39
2018-12-31,10.85,$1.09,9.95
2018-09-30,9.47,$0.75,12.62
2018-06-30,7.98,$0.49,16.29
2018-03-31,11.71,$0.07,167.23
2017-12-31,8.86,$-0.03,0.0
2017-09-30,8.71,$0.35,24.87
2017-06-30,6.72,$-0.47,0.0
2017-03-31,8.31,$-0.46,0.0
2016-12-31,7.94,$-0.73,0.0
2016-09-30,7.49,$-2.29,0.0
2016-06-30,5.24,$-1.65,0.0
2016-03-31,4.08,$-1.63,0.0
2015-12-31,3.06,$-1.30,0.0
2015-09-30,3.32,$-1.36,0.0
2015-06-30,7.35,$-1.18,0.0
2015-03-31,5.49,$-0.86,0.0
2014-12-31,6.83,$-0.80,0.0
2014-09-30,13.42,$1.11,12.09
2014-06-30,14.09,$1.33,10.6
2014-03-31,11.73,$1.43,8.2
2013-12-31,12.42,$1.68,7.39
2013-09-30,14.14,$1.85,7.65
2013-06-30,12.39,$2.05,6.05
2013-03-31,15.1,$1.49,10.14
2012-12-31,16.07,$1.70,9.45
2012-09-30,18.36,$1.57,11.7
2012-06-30,15.09,$1.75,8.62
2012-03-31,21.08,$2.90,7.27
2011-12-31,19.15,$3.10,6.18
2011-09-30,16.77,$3.61,4.64
2011-06-30,24.64,$4.13,5.96
2011-03-31,28.2,$4.04,6.98
2010-12-31,26.99,$4.02,6.71
2010-09-30,25.65,$4.14,6.2
2010-06-30,23.15,$3.98,5.82
2010-03-31,30.47,$3.92,7.77
2009-12-31,32.63,$3.54,9.22
