Woodward PE Ratio Historical Data,Woodward PE Ratio Historical Data,Woodward PE Ratio Historical Data,Woodward PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,165.44,,27.67
2024-06-30,174.11,$5.98,29.11
2024-03-31,153.67,$5.72,26.87
2023-12-31,135.48,$4.74,28.58
2023-09-30,123.46,$3.77,32.75
2023-06-30,117.94,$3.32,35.53
2023-03-31,96.39,$2.59,37.21
2022-12-31,95.43,$2.75,34.7
2022-09-30,79.13,$2.73,28.98
2022-06-30,91.02,$2.61,34.87
2022-03-31,122.68,$2.71,45.27
2021-12-31,107.34,$3.01,35.66
2021-09-30,110.85,$3.18,34.86
2021-06-30,120.16,$3.31,36.3
2021-03-31,117.81,$3.18,37.05
2020-12-31,118.52,$3.55,33.39
2020-09-30,78.11,$3.74,20.89
2020-06-30,75.5,$3.88,19.46
2020-03-31,57.78,$4.29,13.47
2019-12-31,114.86,$4.08,28.15
2019-09-30,104.42,$4.02,25.98
2019-06-30,109.42,$4.15,26.37
2019-03-31,91.61,$3.73,24.56
2018-12-31,71.6,$2.82,25.39
2018-09-30,77.8,$3.03,25.68
2018-03-31,68.7,$2.72,25.26
2017-12-31,73.23,$2.72,26.92
2017-09-30,74.14,$3.16,23.46
2017-06-30,64.44,$3.17,20.33
2017-03-31,64.64,$3.13,20.65
2016-12-31,65.6,$3.18,20.63
2016-09-30,59.26,$2.85,20.79
2016-06-30,54.56,$2.63,20.75
2016-03-31,49.15,$2.48,19.82
2015-12-31,46.81,$2.49,18.8
2015-09-30,38.28,$2.86,13.38
2015-03-31,47.78,$2.78,17.19
2014-12-31,46.02,$2.78,16.55
2014-09-30,44.44,$2.46,18.07
2014-06-30,46.76,$2.45,19.09
2014-03-31,38.63,$2.10,18.4
2013-12-31,42.35,$2.05,20.66
2013-09-30,37.83,$2.10,18.01
2013-06-30,36.99,$2.00,18.49
2013-03-31,36.69,$2.06,17.81
2012-12-31,35.11,$2.00,17.56
2012-09-30,31.22,$2.01,15.53
2012-06-30,36.16,$1.95,18.54
2012-03-31,39.18,$2.06,19.02
2011-12-31,37.38,$1.97,18.97
2011-09-30,24.98,$1.89,13.22
2011-06-30,31.7,$1.76,18.01
2011-03-31,31.37,$1.70,18.45
2010-12-31,34.02,$1.58,21.53
2010-09-30,29.31,$1.58,18.55
2010-06-30,23.03,$1.45,15.89
2010-03-31,28.8,$1.36,21.18
2009-12-31,23.15,$1.29,17.95
2009-09-30,21.74,$1.63,13.34
2009-06-30,17.69,$2.06,8.59
