WD-40 PE Ratio Historical Data,WD-40 PE Ratio Historical Data,WD-40 PE Ratio Historical Data,WD-40 PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,264.78,,52.02
2024-05-31,223.91,$5.09,43.99
2024-02-29,266.43,$5.01,53.18
2023-11-30,239.33,$5.08,47.11
2023-08-31,211.74,$4.82,43.93
2023-05-31,186.2,$4.69,39.7
2023-02-28,169.49,$4.38,38.7
2022-11-30,162.9,$4.58,35.57
2022-08-31,183.02,$4.90,37.35
2022-05-31,181.81,$4.43,41.04
2022-02-28,203.2,$4.88,41.64
2021-11-30,214.46,$4.71,45.53
2021-08-31,228.36,$5.09,44.87
2021-05-31,232.64,$5.90,39.43
2021-02-28,295.43,$5.44,54.31
2020-11-30,240.42,$5.24,45.88
2020-08-31,192.56,$4.40,43.76
2020-05-31,180.14,$3.61,49.9
2020-02-29,161.32,$3.85,41.9
2019-11-30,179.97,$3.95,45.56
2019-08-31,169.33,$4.02,42.12
2019-05-31,144.71,$4.93,29.35
2019-02-28,165.06,$4.78,34.53
2018-11-30,160.55,$4.69,34.23
2018-08-31,162.54,$4.64,35.03
2018-05-31,125.57,$4.11,30.55
2018-02-28,113.38,$3.98,28.49
2017-11-30,108.1,$3.80,28.45
2017-08-31,98.21,$3.72,26.4
2017-05-31,94.85,$3.70,25.63
2017-02-28,98.15,$3.56,27.57
2016-11-30,95.91,$3.63,26.42
2016-08-31,104.78,$3.64,28.79
2016-05-31,98.26,$3.45,28.48
2016-02-29,94.9,$3.32,28.58
2015-11-30,86.42,$3.14,27.52
2015-08-31,72.97,$3.04,24.0
2015-05-31,73.2,$3.01,24.32
2015-02-28,70.13,$2.95,23.77
2014-11-30,65.43,$2.86,22.88
2014-08-31,58.77,$2.87,20.48
2014-05-31,61.47,$2.63,23.37
2014-02-28,61.81,$2.60,23.77
2013-11-30,63.51,$2.59,24.52
2013-08-31,48.87,$2.54,19.24
2013-05-31,45.32,$2.57,17.63
2013-02-28,45.04,$2.48,18.16
2012-11-30,39.0,$2.47,15.79
2012-08-31,40.05,$2.20,18.21
2012-05-31,38.15,$2.25,16.96
2012-02-29,34.91,$2.15,16.24
2011-11-30,33.32,$2.03,16.41
2011-08-31,32.9,$2.14,15.37
2011-05-31,33.69,$1.94,17.37
2011-02-28,32.11,$2.01,15.97
2010-11-30,30.66,$2.12,14.46
2010-08-31,27.4,$2.15,12.74
2010-05-31,25.25,$2.20,11.48
2010-02-28,24.06,$2.07,11.62
2009-11-30,24.51,$1.68,14.59
