Canadian Imperial Bank Of Commerce PE Ratio Historical Data,Canadian Imperial Bank Of Commerce PE Ratio Historical Data,Canadian Imperial Bank Of Commerce PE Ratio Historical Data,Canadian Imperial Bank Of Commerce PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,62.64,,12.31
2024-07-31,50.94,$5.09,10.01
2024-04-30,45.39,$4.86,9.34
2024-01-31,43.34,$4.84,8.96
2023-10-31,33.37,$3.82,8.73
2023-07-31,41.0,$3.67,11.17
2023-04-30,38.43,$3.96,9.71
2023-01-31,41.17,$3.94,10.45
2022-10-31,40.35,$5.24,7.7
2022-07-31,44.35,$5.48,8.09
2022-04-30,47.82,$5.62,8.51
2022-01-31,53.75,$5.75,9.35
2021-10-31,51.37,$5.54,9.27
2021-07-31,48.75,$5.15,9.47
2021-04-30,43.16,$4.54,9.51
2021-01-31,34.96,$3.43,10.19
2020-10-31,30.22,$3.05,9.93
2020-07-31,27.68,$3.19,8.68
2020-04-30,23.34,$3.42,6.83
2020-01-31,31.44,$4.22,7.45
2019-10-31,32.47,$4.20,7.73
2019-07-31,29.57,$4.30,6.88
2019-04-30,31.23,$4.32,7.24
2019-01-31,31.03,$4.35,7.13
2018-10-31,31.17,$4.54,6.87
2018-07-31,32.58,$4.50,7.24
2018-04-30,30.73,$4.32,7.11
2018-01-31,34.55,$4.16,8.32
2017-10-31,30.4,$4.31,7.06
2017-07-31,29.63,$4.16,7.13
2017-04-30,27.25,$4.57,5.97
2017-01-31,28.41,$4.48,6.35
2016-10-31,24.72,$4.08,6.07
2016-07-31,24.74,$3.92,6.31
2016-04-30,26.0,$3.51,7.41
2016-01-31,20.62,$3.53,5.84
2015-10-31,24.05,$3.54,6.8
2015-07-31,22.17,$3.68,6.03
2015-04-30,24.63,$3.73,6.61
2015-01-31,20.83,$3.16,6.6
2014-10-31,27.13,$3.54,7.67
2014-07-31,27.28,$3.63,7.51
2014-04-30,25.98,$3.63,7.17
2014-01-31,22.39,$4.31,5.2
2013-10-31,24.0,$3.94,6.09
2013-07-31,21.14,$4.00,5.28
2013-04-30,22.01,$3.98,5.54
2013-01-31,22.66,$3.88,5.84
2012-10-31,20.88,$3.92,5.33
2012-07-31,19.18,$3.83,5.01
2012-04-30,19.54,$3.79,5.15
2012-01-31,19.5,$3.69,5.29
2011-10-31,19.1,$3.69,5.18
2011-07-31,19.07,$3.33,5.73
2011-04-30,21.36,$3.09,6.91
2011-01-31,18.65,$3.05,6.13
2010-10-31,18.53,$2.83,6.56
2010-07-31,16.43,$3.00,5.49
2010-04-30,17.34,$2.72,6.37
2010-01-31,13.99,$1.84,7.6
2009-10-31,13.18,$1.23,10.76
