MR COOPER GROUP INC PE Ratio Historical Data,MR COOPER GROUP INC PE Ratio Historical Data,MR COOPER GROUP INC PE Ratio Historical Data,MR COOPER GROUP INC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,96.27,,9.1
2024-06-30,81.23,$10.58,7.68
2024-03-31,77.95,$9.55,8.16
2023-12-31,65.12,$7.34,8.87
2023-09-30,53.56,$6.66,8.04
2023-06-30,50.64,$4.15,12.2
2023-03-31,40.97,$4.11,9.97
2022-12-31,40.13,$12.18,3.29
2022-09-30,40.5,$14.18,2.86
2022-06-30,36.74,$15.92,2.31
2022-03-31,45.67,$18.74,2.44
2021-12-31,41.61,$16.07,2.59
2021-09-30,41.17,$16.06,2.56
2021-06-30,33.06,$14.95,2.21
2021-03-31,34.76,$10.87,3.2
2020-12-31,31.03,$3.11,9.98
2020-09-30,22.32,$2.01,11.1
2020-06-30,12.44,$0.73,17.04
2020-03-31,7.33,$-1.00,0.0
2019-12-31,12.51,$-1.21,0.0
2019-09-30,10.62,$-2.11,0.0
2019-06-30,8.01,$-3.01,0.0
2019-03-31,9.59,$-2.17,0.0
2018-12-31,11.67,$-0.48,0.0
2018-09-30,16.68,$-1.20,0.0
2018-06-30,16.08,$-0.48,0.0
2018-03-31,17.04,$-1.92,0.0
2017-12-31,10.19,$-1.32,0.0
2017-09-30,11.4,$1.92,5.94
2017-06-30,15.0,0,0.0
2017-03-31,17.4,$1.92,9.06
2016-12-31,18.6,$2.88,6.46
2016-09-30,28.08,$0.48,58.48
2016-06-30,26.64,$1.68,15.85
