RadNet PE Ratio Historical Data,RadNet PE Ratio Historical Data,RadNet PE Ratio Historical Data,RadNet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,68.36,,488.29
2024-06-30,58.92,$0.14,420.86
2024-03-31,48.66,$0.30,162.2
2023-12-31,34.77,$-0.02,0.0
2023-09-30,28.19,$-0.01,0.0
2023-06-30,32.62,$-0.25,0.0
2023-03-31,25.03,$-0.24,0.0
2022-12-31,18.83,$0.17,110.76
2022-09-30,20.35,$0.12,169.58
2022-06-30,17.28,$0.41,42.15
2022-03-31,22.37,$0.33,67.79
2021-12-31,30.11,$0.46,65.46
2021-09-30,29.31,$0.64,45.8
2021-06-30,33.69,$0.46,73.24
2021-03-31,21.75,$0.20,108.75
2020-12-31,19.57,$-0.31,0.0
2020-09-30,15.35,$-0.21,0.0
2020-06-30,15.87,$-0.27,0.0
2020-03-31,10.51,$0.04,262.75
2019-12-31,20.3,$0.29,70.0
2019-09-30,14.36,$0.67,21.43
2019-06-30,13.79,$0.71,19.42
2019-03-31,12.39,$0.72,17.21
2018-12-31,10.17,$0.65,15.65
2018-09-30,15.05,$-0.09,0.0
2018-06-30,15.0,$-0.12,0.0
2018-03-31,14.4,$-0.12,0.0
2017-12-31,10.1,$0.00,0.0
2017-09-30,11.55,$0.23,50.22
2017-06-30,7.75,$0.20,38.75
2017-03-31,5.9,$0.17,34.71
2016-12-31,6.45,$0.16,40.31
2016-09-30,7.4,$0.10,74.0
2016-06-30,5.34,$0.24,22.25
2016-03-31,4.83,$0.24,20.13
2015-12-31,6.18,$0.17,36.35
2015-09-30,5.55,$0.25,22.2
2015-06-30,6.69,$0.17,39.35
2015-03-31,8.4,$0.21,40.0
2014-12-31,8.54,$0.01,854.0
2014-09-30,6.62,$-0.06,0.0
2014-06-30,6.63,$-0.17,0.0
2014-03-31,2.84,$-0.22,0.0
2013-12-31,1.67,$0.06,27.83
2013-09-30,2.41,$1.45,1.66
2013-06-30,2.65,$1.59,1.67
2013-03-31,2.8,$1.59,1.76
2012-12-31,2.53,$1.62,1.56
2012-09-30,2.78,$0.32,8.69
2012-06-30,2.66,$0.19,14.0
2012-03-31,3.18,$0.21,15.14
2011-12-31,2.13,$0.19,11.21
2011-09-30,2.44,$0.16,15.25
2011-06-30,4.4,$0.15,29.33
2011-03-31,3.5,$-0.26,0.0
2010-12-31,2.82,$-0.35,0.0
2010-09-30,2.4,$-0.42,0.0
2010-06-30,2.37,$-0.46,0.0
2010-03-31,3.18,$-0.15,0.0
2009-12-31,2.04,$-0.06,0.0
