Nokia PE Ratio Historical Data,Nokia PE Ratio Historical Data,Nokia PE Ratio Historical Data,Nokia PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.34,,62.0
2024-06-30,3.75,$0.07,53.53
2024-03-31,3.47,$0.16,21.68
2023-12-31,3.32,$0.12,27.69
2023-09-30,3.6,$0.70,5.14
2023-06-30,3.97,$0.76,5.22
2023-03-31,4.65,$0.79,5.88
2022-12-31,4.37,$0.78,5.61
2022-09-30,4.01,$0.35,11.44
2022-06-30,4.31,$0.34,12.67
2022-03-31,5.08,$0.32,15.88
2021-12-31,5.79,$0.34,17.02
2021-09-30,5.07,$-0.35,0.0
2021-06-30,4.95,$-0.38,0.0
2021-03-31,3.68,$-0.43,0.0
2020-12-31,3.64,$-0.51,0.0
2020-09-30,3.64,$0.15,24.26
2020-06-30,4.09,$0.12,34.12
2020-03-31,2.88,$0.07,41.21
2019-12-31,3.45,0,0.0
2019-09-30,4.71,$-0.07,0.0
2019-06-30,4.62,$-0.09,0.0
2019-03-31,5.21,$-0.12,0.0
2018-12-31,5.3,$-0.07,0.0
2018-09-30,5.09,$-0.19,0.0
2018-06-30,5.24,$-0.22,0.0
2018-03-31,4.8,$-0.25,0.0
2017-12-31,4.09,$-0.31,0.0
2017-09-30,5.25,$-0.11,0.0
2017-06-30,5.41,$-0.09,0.0
2017-03-31,4.62,$-0.14,0.0
2016-12-31,4.1,$-0.14,0.0
2016-09-30,4.93,$0.24,20.56
2016-06-30,4.85,$0.30,16.16
2016-03-31,4.78,$0.54,8.86
2015-12-31,5.68,$0.69,8.24
2015-09-30,5.49,$0.32,17.15
2015-06-30,5.55,$0.52,10.66
2015-03-31,5.99,$1.24,4.83
2014-12-31,6.21,$1.10,5.65
2014-09-30,6.69,$0.96,6.96
2014-06-30,5.97,$0.69,8.66
2014-03-31,5.45,$-0.21,0.0
2013-12-31,6.02,$-0.22,0.0
2013-09-30,4.83,$-0.14,0.0
2013-06-30,2.78,$-0.45,0.0
2013-03-31,2.43,$-0.84,0.0
2012-12-31,2.93,$-1.07,0.0
2012-09-30,1.91,$-1.51,0.0
2012-06-30,1.54,$-1.20,0.0
2012-03-31,3.76,$-0.87,0.0
2011-12-31,3.3,$-0.41,0.0
2011-09-30,3.88,$0.24,16.15
2011-06-30,4.4,$0.47,9.36
2011-03-31,5.48,$0.69,7.94
2010-12-31,6.65,$0.69,9.63
2010-09-30,6.46,$0.77,8.39
2010-06-30,5.25,$0.35,15.0
2010-03-31,9.51,$0.38,25.04
2009-12-31,7.87,$0.29,27.13
