TriNet PE Ratio Historical Data,TriNet PE Ratio Historical Data,TriNet PE Ratio Historical Data,TriNet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,96.93,,16.37
2024-06-30,99.49,$5.92,16.81
2024-03-31,131.82,$6.10,21.61
2023-12-31,118.1,$6.49,18.2
2023-09-30,115.67,$5.96,19.41
2023-06-30,94.31,$5.55,16.99
2023-03-31,80.05,$5.52,14.5
2022-12-31,67.33,$5.56,12.11
2022-09-30,70.72,$5.81,12.17
2022-06-30,77.08,$5.75,13.41
2022-03-31,97.67,$5.77,16.93
2021-12-31,94.6,$5.07,18.66
2021-09-30,93.92,$4.36,21.54
2021-06-30,71.98,$3.68,19.56
2021-03-31,77.42,$4.18,18.52
2020-12-31,80.04,$3.98,20.11
2020-09-30,58.91,$4.34,13.57
2020-06-30,60.52,$4.64,13.04
2020-03-31,37.4,$3.41,10.97
2019-12-31,56.22,$2.99,18.8
2019-09-30,61.76,$2.71,22.79
2019-06-30,67.33,$2.63,25.6
2019-03-31,59.32,$2.79,21.26
2018-12-31,41.66,$2.65,15.72
2018-09-30,55.93,$3.17,17.64
2018-06-30,55.55,$3.07,18.09
2018-03-31,46.0,$2.83,16.25
2017-12-31,44.03,$2.49,17.68
2017-09-30,33.39,$1.89,17.66
2017-06-30,32.51,$1.49,21.82
2017-03-31,28.7,$1.10,26.09
2016-12-31,25.44,$0.85,29.93
2016-09-30,21.48,$0.73,29.42
2016-06-30,20.65,$0.57,36.22
2016-03-31,14.25,$0.38,37.5
2015-12-31,19.22,$0.44,43.67
2015-09-30,16.68,$0.34,49.07
2015-06-30,25.17,$0.31,81.2
2015-03-31,34.98,$0.42,83.3
2014-12-31,31.06,$0.23,135.05
