Barclays PE Ratio Historical Data,Barclays PE Ratio Historical Data,Barclays PE Ratio Historical Data,Barclays PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.94,,9.73
2024-06-30,10.58,$1.33,7.95
2024-03-31,9.33,$1.34,6.96
2023-12-31,7.54,$1.37,5.51
2023-09-30,7.46,$1.71,4.36
2023-06-30,7.39,$1.73,4.27
2023-03-31,6.76,$1.62,4.17
2022-12-31,7.12,$1.45,4.91
2022-09-30,5.85,$1.50,3.9
2022-06-30,6.86,$1.53,4.48
2022-03-31,7.13,$1.90,3.75
2021-12-31,9.13,$2.08,4.39
2021-09-30,9.1,$1.79,5.09
2021-06-30,8.42,$1.50,5.62
2021-03-31,8.93,$0.83,10.76
2020-12-31,6.93,$0.45,15.4
2020-09-30,4.35,$0.58,7.49
2020-06-30,4.91,$0.32,15.34
2020-03-31,3.93,$0.61,6.44
2019-12-31,8.26,$0.75,11.01
2019-09-30,6.37,$0.53,12.01
2019-06-30,6.46,$0.94,6.88
2019-03-31,6.8,$1.04,6.53
2018-12-31,6.41,$0.49,13.07
2018-09-30,7.6,$0.12,63.36
2018-06-30,8.41,$-0.02,0.0
2018-03-31,9.91,$-0.84,0.0
2017-12-31,9.06,$-0.55,0.0
2017-09-30,8.6,$-0.12,0.0
2017-06-30,8.75,$-0.17,0.0
2017-03-31,9.29,$0.48,19.36
2016-12-31,9.01,$0.57,15.81
2016-09-30,7.12,$0.96,7.42
2016-06-30,6.19,$1.00,6.19
2016-03-31,7.02,$0.13,54.0
2015-06-30,13.0,$0.14,92.89
2015-03-31,11.48,$-0.22,0.0
2014-12-31,11.67,0,0.0
2014-09-30,11.47,$0.30,38.23
2014-06-30,11.26,$0.40,28.16
2014-03-31,12.05,$0.24,50.23
2013-12-31,13.73,$0.26,52.83
2013-09-30,12.86,$0.32,40.18
2013-06-30,12.87,$-0.09,0.0
2013-03-31,13.31,$0.32,41.59
2012-12-31,12.83,$-0.39,0.0
2012-09-30,10.23,$0.06,170.56
2012-06-30,7.56,$0.84,9.0
2012-03-31,11.06,$0.78,14.18
2011-12-31,7.93,$1.63,4.86
2011-09-30,7.02,$2.00,3.51
2011-06-30,11.71,$1.38,8.49
2011-03-31,12.89,$1.82,7.08
2010-12-31,11.64,$1.79,6.51
2010-09-30,13.24,$5.22,2.54
2010-06-30,11.12,$5.21,2.13
2010-03-31,15.18,$4.99,3.04
