Coinbase Global PE Ratio Historical Data,Coinbase Global PE Ratio Historical Data,Coinbase Global PE Ratio Historical Data,Coinbase Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,204.2,,36.66
2024-06-30,222.23,$5.57,39.9
2024-03-31,265.12,$5.01,52.92
2023-12-31,173.92,$0.27,644.15
2023-09-30,75.08,$-3.23,0.0
2023-06-30,71.55,$-5.65,0.0
2023-03-31,67.57,$-10.21,0.0
2022-12-31,35.39,$-11.85,0.0
2022-09-30,64.49,$-6.07,0.0
2022-06-30,47.02,$-2.02,0.0
2022-03-31,189.86,$9.38,20.24
