Bank Of Montreal PE Ratio Historical Data,Bank Of Montreal PE Ratio Historical Data,Bank Of Montreal PE Ratio Historical Data,Bank Of Montreal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,93.58,,14.74
2024-07-31,84.33,$6.35,13.28
2024-04-30,87.67,$6.02,14.56
2024-01-31,91.33,$5.24,17.43
2023-10-31,72.42,$4.18,17.33
2023-07-31,87.82,$7.55,11.63
2023-04-30,84.22,$7.59,11.1
2023-01-31,92.89,$12.26,7.58
2022-10-31,84.09,$15.53,5.41
2022-07-31,89.98,$13.21,6.81
2022-04-30,94.73,$14.47,6.55
2022-01-31,100.14,$10.36,9.67
2021-10-31,95.12,$9.22,10.32
2021-07-31,85.98,$8.43,10.2
2021-04-30,81.35,$6.97,11.67
2021-01-31,63.5,$6.18,10.28
2020-10-31,50.26,$5.63,8.93
2020-07-31,45.64,$5.20,8.78
2020-04-30,41.84,$5.64,7.42
2020-01-31,61.74,$6.60,9.35
2019-10-31,59.31,$6.53,9.08
2019-07-31,59.34,$7.15,8.3
2019-04-30,61.99,$7.18,8.63
2019-01-31,56.92,$6.96,8.18
2018-10-31,57.52,$6.36,9.04
2018-07-31,60.43,$5.84,10.35
2018-04-30,57.34,$5.60,10.24
2018-01-31,61.57,$5.52,11.15
2017-10-31,56.79,$6.05,9.39
2017-07-31,55.73,$6.14,9.08
2017-04-30,51.55,$6.02,8.56
2017-01-31,54.53,$5.73,9.52
2016-10-31,45.45,$5.22,8.71
2016-07-31,45.37,$5.07,8.95
2016-04-30,45.63,$5.09,8.97
2016-01-31,37.1,$5.18,7.16
2015-10-31,39.82,$5.19,7.67
2015-07-31,37.89,$5.17,7.33
2015-04-30,43.79,$5.24,8.36
2015-01-31,38.17,$5.52,6.91
2014-10-31,47.71,$5.78,8.25
2014-07-31,48.54,$5.93,8.19
2014-04-30,44.45,$6.01,7.4
2014-01-31,38.99,$5.91,6.6
2013-10-31,44.01,$5.98,7.36
2013-07-31,38.83,$6.06,6.41
2013-04-30,38.75,$5.90,6.57
2013-01-31,38.61,$6.02,6.41
2012-10-31,35.7,$6.16,5.8
2012-07-31,34.14,$5.88,5.81
2012-04-30,35.0,$5.73,6.11
2012-01-31,33.86,$5.61,6.04
2011-10-31,34.06,$5.31,6.41
2011-07-31,35.75,$5.22,6.85
2011-04-30,36.51,$5.00,7.3
2011-01-31,31.75,$4.81,6.6
2010-10-31,32.21,$4.54,7.09
2010-07-31,32.8,$4.33,7.58
2010-04-30,32.93,$4.12,7.99
2010-01-31,25.59,$3.48,7.35
2009-10-31,23.71,$2.81,8.44
