Matador Resources PE Ratio Historical Data,Matador Resources PE Ratio Historical Data,Matador Resources PE Ratio Historical Data,Matador Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,52.46,,6.76
2024-06-30,59.39,$7.76,7.65
2024-03-31,66.32,$7.30,9.09
2023-12-31,56.29,$7.05,7.98
2023-09-30,58.68,$7.04,8.33
2023-06-30,51.48,$7.66,6.72
2023-03-31,46.72,$9.76,4.79
2022-12-31,55.98,$10.20,5.49
2022-09-30,47.77,$9.80,4.87
2022-06-30,45.41,$7.87,5.77
2021-12-31,35.92,$4.91,7.31
2021-09-30,36.96,$2.34,15.8
2021-06-30,34.96,$2.36,14.81
2021-03-31,22.75,$-0.91,0.0
2020-12-31,11.69,$-4.46,0.0
2022-03-31,51.59,$-2.61,0.0
2020-09-30,8.0,$-4.13,0.0
2020-06-30,8.24,$-1.37,0.0
2020-03-31,2.4,$1.98,1.21
2019-12-31,17.41,$0.75,23.22
2019-09-30,16.02,$1.71,9.37
2019-06-30,19.26,$1.48,13.02
2019-03-31,18.73,$1.70,11.02
2018-12-31,15.05,$2.40,6.27
2018-09-30,32.02,$1.58,20.27
2018-06-30,29.12,$1.58,18.43
2018-03-31,28.98,$1.33,21.79
2017-12-31,30.16,$1.22,24.72
2017-09-30,26.31,$1.96,13.42
2017-06-30,20.71,$1.94,10.67
2017-03-31,23.05,$-1.10,0.0
2016-12-31,24.96,$-4.40,0.0
2016-09-30,23.58,$-7.38,0.0
2015-12-31,19.16,$-8.19,0.0
2015-09-30,20.1,$-4.79,0.0
2015-06-30,24.22,$-3.19,0.0
2015-03-31,21.24,$-0.90,0.0
2014-12-31,19.6,$0.04,490.04
2016-03-31,18.37,$-0.35,0.0
2014-09-30,25.05,$1.14,21.97
2014-06-30,28.37,$1.09,26.03
2014-03-31,23.73,$0.55,43.14
2013-12-31,18.06,$-0.08,0.0
2013-09-30,15.82,$-0.48,0.0
2013-03-31,8.58,$-0.95,0.0
2012-12-31,7.95,$-0.59,0.0
2012-09-30,10.07,$0.24,41.95
2012-06-30,10.41,$-0.74,0.0
