Pembina Pipeline PE Ratio Historical Data,Pembina Pipeline PE Ratio Historical Data,Pembina Pipeline PE Ratio Historical Data,Pembina Pipeline PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,43.35,,18.06
2024-06-30,36.46,$2.40,15.19
2024-03-31,34.27,$2.30,14.9
2023-12-31,32.92,$2.21,14.9
2023-09-30,28.33,$1.61,17.59
2023-06-30,29.16,$3.67,7.95
2023-03-31,29.57,$3.76,7.87
2022-12-31,30.54,$3.95,7.73
2022-09-30,26.93,$3.72,7.24
2022-06-30,30.92,$2.04,15.16
2022-03-31,32.46,$1.82,17.83
2021-12-31,25.79,$1.57,16.43
2021-09-30,26.53,$-0.24,0.0
2021-06-30,26.17,$-0.66,0.0
2021-03-31,23.38,$-0.70,0.0
2020-12-31,18.84,$-0.72,0.0
2020-09-30,16.57,$1.19,13.92
2020-06-30,19.13,$1.31,14.6
2020-03-31,13.94,$1.95,7.15
2019-12-31,27.05,$1.99,13.59
2019-09-30,26.71,$2.33,11.46
2019-06-30,26.48,$2.29,11.56
2019-03-31,25.85,$1.70,15.21
2018-12-31,20.61,$1.76,11.71
2018-09-30,23.3,$1.91,12.2
2018-06-30,23.42,$1.66,14.11
2018-03-31,20.87,$1.52,13.73
2017-12-31,23.87,$1.42,16.81
2017-09-30,22.87,$0.99,23.1
2017-06-30,21.32,$0.97,21.98
2017-03-31,20.17,$0.97,20.8
2016-12-31,19.7,$0.77,25.58
2016-09-30,18.93,$0.79,23.97
2016-06-30,18.63,$0.82,22.72
2016-03-31,16.36,$0.70,23.37
2015-12-31,13.01,$0.79,16.46
2015-09-30,14.15,$0.73,19.38
2015-06-30,18.79,$0.69,27.23
2015-03-31,18.21,$0.81,22.49
2014-12-31,20.72,$0.93,22.28
2014-09-30,23.74,$1.04,22.83
2014-06-30,24.01,$1.07,22.44
2014-03-31,21.06,$1.18,17.84
2013-12-31,19.27,$1.10,17.52
2013-09-30,17.91,$0.92,19.46
2013-06-30,16.34,$0.99,16.51
2013-03-31,16.66,$0.89,18.71
2012-09-30,14.33,$0.86,16.66
2012-06-30,12.87,$0.93,13.84
2012-03-31,13.95,$0.95,14.68
2011-12-31,14.25,$1.01,14.11
2011-09-30,11.77,$1.05,11.21
2011-06-30,12.46,$1.14,10.93
