Innovative Industrial Properties PE Ratio Historical Data,Innovative Industrial Properties PE Ratio Historical Data,Innovative Industrial Properties PE Ratio Historical Data,Innovative Industrial Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,132.51,,23.25
2024-06-30,107.7,$5.70,18.89
2024-03-31,100.35,$5.70,17.61
2023-12-31,96.04,$5.80,16.56
2023-09-30,70.82,$5.67,12.49
2023-06-30,66.7,$5.64,11.83
2022-12-31,88.27,$5.52,15.99
2022-09-30,75.74,$5.20,14.57
2022-06-30,92.15,$5.31,17.35
2022-03-31,169.58,$5.09,33.32
2021-12-31,215.23,$4.94,43.57
2023-03-31,67.78,$4.85,13.98
2021-09-30,188.16,$4.33,43.46
2021-06-30,154.48,$3.99,38.72
2021-03-31,144.65,$3.55,40.75
2020-12-31,145.95,$3.22,45.33
2020-09-30,98.25,$3.09,31.8
2020-06-30,69.03,$2.78,24.83
2020-03-31,58.86,$2.35,25.05
2019-12-31,58.09,$1.97,29.49
2019-09-30,69.77,$1.43,48.79
2019-06-30,92.58,$1.09,84.93
2019-03-31,60.9,$0.96,63.44
2018-12-31,33.66,$0.71,47.41
2018-09-30,35.5,$0.54,65.74
2018-06-30,26.75,$0.42,63.69
2018-03-31,19.4,$0.12,161.69
2017-12-31,23.21,$-0.15,0.0
2017-09-30,13.32,$-0.22,0.0
