Shift4 Payments PE Ratio Historical Data,Shift4 Payments PE Ratio Historical Data,Shift4 Payments PE Ratio Historical Data,Shift4 Payments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,94.72,,57.41
2024-06-30,73.35,$1.65,44.45
2024-03-31,66.07,$1.49,44.34
2023-12-31,74.34,$1.42,52.35
2023-09-30,55.37,$1.67,33.16
2023-06-30,67.91,$1.69,40.18
2023-03-31,75.8,$1.45,52.28
2022-12-31,55.93,$1.08,51.79
2022-09-30,44.61,$0.44,101.39
2022-06-30,33.06,$-0.30,0.0
2022-03-31,61.93,$-0.43,0.0
2021-12-31,57.93,$-0.92,0.0
2021-09-30,77.52,$-1.02,0.0
2021-06-30,93.72,$-0.97,0.0
2021-03-31,82.01,$-1.05,0.0
