Arcosa PE Ratio Historical Data,Arcosa PE Ratio Historical Data,Arcosa PE Ratio Historical Data,Arcosa PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,96.23,,31.97
2024-06-30,83.32,$3.01,27.68
2024-03-31,85.71,$2.92,29.35
2023-12-31,82.45,$3.26,25.29
2023-09-30,71.68,$5.88,12.19
2023-06-30,75.49,$5.82,12.97
2023-03-31,62.82,$5.77,10.89
2022-12-31,54.05,$5.04,10.72
2022-09-30,56.82,$2.05,27.72
2022-06-30,46.09,$1.88,24.52
2022-03-31,56.78,$1.52,37.35
2021-12-31,52.22,$1.43,36.51
2021-09-30,49.66,$1.45,34.25
2021-06-30,58.09,$1.60,36.31
2021-03-31,64.32,$1.85,34.77
2020-12-31,54.24,$2.18,24.88
2020-09-30,43.49,$2.41,18.04
2020-06-30,41.57,$2.44,17.04
2020-03-31,39.1,$2.41,16.23
2019-12-31,43.79,$2.32,18.87
2019-09-30,33.57,$2.44,13.76
