Alibaba PE Ratio Historical Data,Alibaba PE Ratio Historical Data,Alibaba PE Ratio Historical Data,Alibaba PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,100.07,,26.2
2024-06-30,72.0,$3.82,18.85
2024-03-31,70.81,$4.29,16.51
2023-12-31,75.85,$5.42,13.99
2023-09-30,83.74,$7.22,11.6
2023-06-30,80.46,$4.65,17.3
2023-03-31,98.64,$4.09,24.12
2022-12-31,85.04,$1.82,46.73
2022-09-30,77.22,$0.40,193.05
2022-06-30,109.74,$1.80,60.97
2022-03-31,105.03,$3.07,34.21
2021-12-31,114.68,$3.73,30.74
2021-09-30,142.92,$6.97,20.51
2021-06-30,218.93,$8.20,26.7
2021-03-31,218.88,$8.12,26.96
2020-12-31,224.67,$8.58,26.19
2020-09-30,283.8,$6.97,40.72
2020-06-30,208.23,$9.28,22.44
2020-03-31,187.75,$7.99,23.5
2019-12-31,204.76,$9.30,22.02
2019-09-30,161.44,$8.33,19.38
2019-06-30,163.58,$5.59,29.26
2019-03-31,176.13,$4.92,35.8
2018-12-31,132.32,$3.91,33.84
2018-09-30,159.06,$3.48,45.71
2018-06-30,179.11,$3.39,52.83
2018-03-31,177.18,$3.72,47.63
2017-12-31,166.46,$3.86,43.12
2017-09-30,166.73,$3.45,48.33
2017-06-30,136.02,$2.88,47.23
2017-03-31,104.1,$2.49,41.81
2016-12-31,84.77,$2.22,38.18
2016-09-30,102.13,$1.98,51.58
2016-06-30,76.78,$2.93,26.2
2016-03-31,76.29,$4.41,17.3
2015-12-31,78.46,$4.26,18.42
2015-09-30,56.93,$3.87,14.71
2015-06-30,79.42,$2.67,29.75
