Ferrari PE Ratio Historical Data,Ferrari PE Ratio Historical Data,Ferrari PE Ratio Historical Data,Ferrari PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,482.32,,58.11
2024-06-30,408.37,$8.30,49.2
2024-03-31,433.36,$7.83,55.35
2023-12-31,336.43,$7.45,45.16
2023-09-30,293.79,$6.95,42.27
2023-06-30,323.29,$6.21,52.06
2023-03-31,267.43,$5.67,47.17
2022-12-31,211.44,$5.38,39.3
2022-09-30,182.6,$5.47,33.38
2022-06-30,181.1,$5.54,32.69
2022-03-31,213.85,$5.43,39.38
2021-12-31,253.79,$5.32,47.7
2021-09-30,205.05,$5.67,36.16
2021-06-30,202.04,$5.44,37.14
2021-03-31,204.2,$4.14,49.32
2020-12-31,223.95,$3.79,59.09
2020-09-30,179.62,$3.11,57.76
2020-06-30,166.86,$3.03,55.07
2020-03-31,147.72,$4.08,36.21
2019-12-31,160.27,$4.17,38.44
2019-09-30,149.19,$4.31,34.61
2019-06-30,156.29,$5.07,30.83
2019-03-31,128.48,$4.99,25.75
2018-12-31,95.48,$4.87,19.61
2018-09-30,131.46,$4.57,28.77
2018-06-30,129.64,$3.68,35.23
2018-03-31,114.91,$3.46,33.21
2017-12-31,99.96,$3.19,31.33
2017-09-30,105.33,$2.99,35.23
2017-06-30,82.01,$2.78,29.5
2017-03-31,70.9,$2.57,27.59
2016-12-31,55.43,$2.33,23.79
2016-09-30,49.45,$2.00,24.73
