Annaly Capital Management Inc PE Ratio Historical Data,Annaly Capital Management Inc PE Ratio Historical Data,Annaly Capital Management Inc PE Ratio Historical Data,Annaly Capital Management Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.15,,0.0
2024-06-30,18.46,$-1.33,0.0
2024-03-31,18.44,$-0.97,0.0
2023-12-31,17.56,$-3.61,0.0
2023-09-30,16.51,$-4.69,0.0
2023-06-30,16.97,$-4.18,0.0
2023-03-31,15.7,$-2.25,0.0
2022-12-31,16.74,$4.98,3.36
2022-09-30,13.09,$8.02,1.63
2022-06-30,17.17,$10.08,1.7
2022-03-31,19.72,$6.96,2.83
2021-12-31,21.24,$6.44,3.3
2021-09-30,22.25,$7.76,2.87
2021-06-30,22.88,$9.20,2.49
2021-03-31,21.62,$12.44,1.74
2020-12-31,20.72,$-2.76,0.0
2020-09-30,17.01,$-1.88,0.0
2020-06-30,15.2,$-6.84,0.0
2020-03-31,11.37,$-14.12,0.0
2019-12-31,20.23,$-6.36,0.0
2019-09-30,18.41,$-16.60,0.0
2019-06-30,18.57,$-13.28,0.0
2019-03-31,19.77,$-6.36,0.0
2018-12-31,18.88,$0.64,29.49
2018-09-30,19.08,$10.08,1.89
2018-06-30,18.66,$10.16,1.84
2018-03-31,18.38,$8.16,2.25
2017-12-31,20.36,$5.32,3.83
2017-09-30,20.36,$10.00,2.04
2017-06-30,19.65,$11.56,1.7
2017-03-31,17.68,$10.32,1.71
2016-12-31,15.45,$4.84,3.19
2016-09-30,15.79,$0.44,35.89
2016-06-30,16.19,$-5.08,0.0
2016-03-31,14.6,$-0.08,0.0
2015-12-31,12.97,$1.68,7.72
2015-09-30,13.22,$-3.92,0.0
2015-06-30,11.95,$0.20,59.75
2015-03-31,13.1,$-5.00,0.0
2014-12-31,13.24,$-3.84,0.0
2014-09-30,12.74,$3.12,4.08
2014-06-30,13.26,$2.44,5.44
2014-03-31,12.4,$10.48,1.18
2013-12-31,10.97,$14.88,0.74
2013-09-30,12.37,$13.48,0.92
2013-06-30,13.03,$13.64,0.96
2013-03-31,15.97,$6.68,2.39
2012-12-31,13.72,$6.76,2.03
2012-09-30,15.95,$5.80,2.75
2012-06-30,15.43,$1.00,15.43
2012-03-31,14.09,$1.96,7.19
2011-12-31,13.73,$1.96,7.0
2011-09-30,13.82,$7.56,1.83
2011-06-30,14.47,$11.36,1.27
2011-03-31,13.51,$9.20,1.47
2010-12-31,13.4,$7.60,1.76
2010-09-30,12.7,$5.44,2.33
2010-06-30,11.92,$7.60,1.57
2010-03-31,11.49,$13.52,0.85
2009-12-31,11.18,$14.08,0.79
