Lantheus Holdings PE Ratio Historical Data,Lantheus Holdings PE Ratio Historical Data,Lantheus Holdings PE Ratio Historical Data,Lantheus Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,115.65,,18.96
2024-06-30,80.29,$6.10,13.16
2024-03-31,62.24,$6.55,9.5
2023-12-31,62.0,$4.64,13.36
2023-09-30,69.48,$1.43,48.59
2023-06-30,83.92,$0.41,204.68
2023-03-31,82.56,$-0.31,0.0
2022-12-31,50.96,$0.34,149.88
2022-09-30,70.33,$1.49,47.2
2022-06-30,66.03,$0.43,153.56
2022-03-31,55.31,$-0.57,0.0
2021-12-31,28.89,$-1.05,0.0
2021-09-30,25.68,$-0.51,0.0
2021-06-30,27.64,$-0.41,0.0
2021-03-31,21.37,$-0.18,0.0
2020-12-31,13.49,$-0.23,0.0
2020-09-30,12.67,$0.08,158.38
2020-06-30,14.3,$0.30,47.67
2020-03-31,12.76,$0.62,20.58
2019-12-31,20.51,$0.79,25.96
2019-09-30,25.07,$0.87,28.81
2019-06-30,28.3,$0.99,28.59
2019-03-31,24.48,$1.08,22.67
2018-12-31,15.65,$1.04,15.05
2018-09-30,14.95,$3.17,4.72
2018-06-30,14.55,$3.15,4.62
2018-03-31,15.9,$3.25,4.89
2017-12-31,20.45,$3.15,6.49
2017-09-30,17.8,$0.81,21.98
2017-06-30,17.65,$0.72,24.51
2017-03-31,12.5,$0.61,20.49
2016-12-31,8.6,$0.84,10.24
2016-09-30,8.28,$0.84,9.86
2016-06-30,3.67,$0.89,4.12
2016-03-31,1.89,$-0.64,0.0
