"Zions Bancorporation, N.A PE Ratio Historical Data","Zions Bancorporation, N.A PE Ratio Historical Data","Zions Bancorporation, N.A PE Ratio Historical Data","Zions Bancorporation, N.A PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,51.03,,12.82
2024-03-31,43.4,$3.98,10.9
2023-12-31,43.87,$4.35,10.09
2023-09-30,34.89,$5.41,6.45
2023-06-30,26.86,$5.68,4.73
2023-03-31,29.93,$5.86,5.11
2022-12-31,49.16,$5.80,8.48
2022-09-30,50.86,$5.30,9.6
2022-06-30,50.55,$5.35,9.45
2022-03-31,64.64,$6.14,10.53
2021-12-31,61.96,$6.77,9.15
2021-09-30,60.36,$7.09,8.51
2021-06-30,51.2,$6.65,7.7
2021-03-31,52.92,$4.91,10.78
2020-12-31,41.55,$3.05,13.62
2020-09-30,27.71,$2.36,11.74
2020-06-30,31.93,$2.52,12.67
2020-03-31,24.84,$3.17,7.84
2019-12-31,47.85,$4.17,11.47
2019-09-30,40.75,$4.28,9.52
2019-06-30,41.73,$4.15,10.06
2019-03-31,40.94,$4.05,10.11
2018-12-31,36.51,$4.10,8.9
2018-09-30,44.67,$3.56,12.55
2018-06-30,46.66,$3.24,14.4
2018-03-31,46.51,$3.08,15.1
2017-12-31,44.67,$2.60,17.18
2017-09-30,41.32,$2.66,15.53
2017-06-30,38.35,$2.51,15.28
2017-03-31,36.61,$2.22,16.49
2016-12-31,37.45,$1.99,18.82
2016-09-30,26.94,$1.82,14.8
2016-06-30,21.76,$1.66,13.11
2016-03-31,20.92,$1.21,17.29
2015-12-31,23.52,$1.20,19.6
2015-09-30,23.68,$1.13,20.95
2015-06-30,27.23,$1.12,24.31
2015-03-31,23.12,$1.69,13.68
2014-12-31,24.38,$1.73,14.09
2014-09-30,24.6,$1.05,23.43
2014-06-30,24.91,$1.77,14.07
2014-03-31,26.15,$1.51,17.32
2013-12-31,25.25,$1.58,15.98
2013-09-30,23.08,$2.09,11.04
2013-06-30,24.31,$1.31,18.56
2013-03-31,20.98,$1.31,16.01
2012-12-31,17.96,$1.07,16.78
2012-09-30,17.33,$1.23,14.09
2012-06-30,16.28,$1.05,15.5
2011-12-31,13.63,$0.83,16.42
2011-09-30,11.78,$-0.03,0.0
2011-06-30,20.08,$-0.24,0.0
2011-03-31,19.28,$-0.87,0.0
2010-12-31,20.25,$-1.79,0.0
2012-03-31,17.98,$-1.74,0.0
2010-09-30,17.84,$-3.14,0.0
2010-06-30,18.01,$-4.08,0.0
2010-03-31,18.23,$-3.59,0.0
2009-12-31,10.7,$-10.31,0.0
2009-09-30,14.98,$-7.77,0.0
