ADMA Biologics Inc PE Ratio Historical Data,ADMA Biologics Inc PE Ratio Historical Data,ADMA Biologics Inc PE Ratio Historical Data,ADMA Biologics Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.12,,115.14
2024-06-30,11.18,$0.14,79.86
2024-03-31,6.6,$-0.02,0.0
2023-12-31,4.52,$-0.13,0.0
2023-09-30,3.58,$-0.11,0.0
2023-06-30,3.69,$-0.20,0.0
2023-03-31,3.31,$-0.24,0.0
2022-12-31,3.88,$-0.34,0.0
2022-09-30,2.43,$-0.37,0.0
2022-06-30,1.98,$-0.42,0.0
2022-03-31,1.83,$-0.50,0.0
2021-12-31,1.41,$-0.53,0.0
2021-09-30,1.13,$-0.64,0.0
2021-06-30,1.6,$-0.70,0.0
2021-03-31,1.76,$-0.78,0.0
2020-12-31,1.95,$-0.88,0.0
2020-09-30,2.39,$-0.86,0.0
2020-06-30,2.93,$-0.86,0.0
2020-03-31,2.88,$-0.88,0.0
2019-12-31,4.0,$-0.90,0.0
2019-09-30,4.45,$-1.11,0.0
2019-06-30,3.87,$-1.25,0.0
2019-03-31,3.79,$-1.35,0.0
2018-12-31,2.39,$-1.46,0.0
2018-09-30,6.21,$-1.31,0.0
2018-06-30,4.51,$-0.39,0.0
2018-03-31,4.6,$-0.59,0.0
2017-12-31,3.21,$-0.71,0.0
2017-09-30,3.08,$-0.82,0.0
2017-06-30,3.7,$-1.75,0.0
2017-03-31,4.88,$-1.70,0.0
2016-12-31,5.12,$-1.62,0.0
2016-09-30,7.24,$-1.71,0.0
2016-06-30,5.95,$-1.85,0.0
2016-03-31,8.09,$-1.79,0.0
2015-12-31,8.07,$-1.73,0.0
2015-09-30,8.36,$-1.67,0.0
2015-06-30,9.26,$-1.55,0.0
2015-03-31,9.8,$-1.54,0.0
2014-12-31,11.17,$-1.17,0.0
2014-09-30,10.3,$-0.79,0.0
