Evercore Inc PE Ratio Historical Data,Evercore Inc PE Ratio Historical Data,Evercore Inc PE Ratio Historical Data,Evercore Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,282.28,,39.04
2024-06-30,207.75,$7.23,28.73
2024-03-31,191.97,$6.37,30.14
2023-12-31,169.8,$6.34,26.78
2023-09-30,136.16,$7.75,17.57
2023-06-30,121.36,$8.48,14.31
2023-03-31,112.51,$9.86,11.41
2022-12-31,105.76,$11.59,9.13
2022-09-30,79.24,$15.11,5.24
2022-06-30,89.54,$16.82,5.32
2022-03-31,105.8,$17.70,5.98
2021-12-31,128.41,$17.16,7.48
2021-09-30,125.78,$15.22,8.26
2021-06-30,131.8,$12.49,10.55
2021-03-31,122.78,$10.63,11.55
2020-12-31,101.66,$8.12,12.52
2020-09-30,60.3,$5.58,10.81
2020-06-30,53.78,$6.45,8.34
2020-03-31,41.62,$6.62,6.29
2019-12-31,66.98,$9.55,7.01
2019-06-30,78.2,$8.15,9.59
2019-03-31,79.76,$7.79,10.24
2018-12-31,62.38,$8.37,7.45
2018-09-30,87.65,$4.20,20.87
2018-06-30,91.49,$4.16,21.99
2018-03-31,75.31,$3.05,24.69
2017-12-31,77.4,$2.71,28.56
2017-09-30,68.69,$4.19,16.39
2017-06-30,60.07,$3.94,15.25
2017-03-31,66.06,$4.08,16.19
2016-12-31,58.01,$2.44,23.78
2016-09-30,43.27,$1.91,22.66
2016-06-30,36.9,$1.28,28.83
2016-03-31,42.96,$0.99,43.39
2015-12-31,44.57,$0.97,45.95
2015-09-30,41.18,$1.18,34.9
2015-06-30,44.0,$1.60,27.5
2015-03-31,41.89,$1.92,21.82
2014-12-31,42.23,$2.07,20.4
2014-09-30,37.7,$1.83,20.6
2014-06-30,46.01,$1.61,28.58
2014-03-31,43.9,$1.47,29.86
2013-12-31,47.29,$1.38,34.27
2013-09-30,38.77,$1.52,25.51
2013-06-30,30.63,$1.33,23.03
2013-03-31,32.26,$1.14,28.3
2012-12-31,23.28,$0.86,27.07
2012-09-30,20.66,$0.28,73.78
2012-06-30,17.75,$0.17,104.43
2012-03-31,21.89,$0.00,0.0
2011-12-31,19.9,$0.26,76.54
2011-09-30,16.91,$0.41,41.24
2011-06-30,24.53,$0.52,47.17
2011-03-31,25.12,$0.44,57.08
2010-12-31,24.77,$0.39,63.52
2010-09-30,20.72,$0.33,62.79
2010-06-30,16.81,$0.23,73.09
2010-03-31,21.49,$-0.20,0.0
2009-12-31,21.67,$0.72,30.1
2009-09-30,20.74,$0.66,31.42
