Ovintiv PE Ratio Historical Data,Ovintiv PE Ratio Historical Data,Ovintiv PE Ratio Historical Data,Ovintiv PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.31,,5.83
2024-06-30,46.51,$7.09,6.56
2024-03-31,51.17,$7.16,7.15
2023-12-31,43.05,$7.89,5.46
2023-09-30,46.3,$10.08,4.59
2023-06-30,36.83,$13.24,2.78
2023-03-31,34.62,$17.11,2.02
2022-12-31,48.33,$14.20,3.4
2022-09-30,43.63,$8.90,4.9
2022-06-30,41.72,$3.99,10.45
2022-03-31,50.81,$-2.01,0.0
2021-12-31,31.53,$0.09,350.3
2021-09-30,30.63,$-2.27,0.0
2021-06-30,29.17,$-7.84,0.0
2021-03-31,22.01,$-23.92,0.0
2020-12-31,13.23,$-23.46,0.0
2020-09-30,7.47,$-21.12,0.0
2020-06-30,8.65,$-14.72,0.0
2020-03-31,2.42,$1.15,2.1
2019-12-31,20.29,$4.93,4.12
2019-09-30,19.81,$5.15,3.85
2019-03-31,30.94,$3.80,8.14
2018-12-31,24.63,$5.60,4.4
2018-09-30,55.74,$-1.00,0.0
2018-06-30,55.42,0,0.0
2018-03-31,46.66,$2.30,20.29
2017-12-31,56.46,$3.20,17.64
2019-06-30,22.0,$6.60,3.33
2017-09-30,49.83,$3.95,12.62
2017-06-30,37.17,$4.30,8.64
2017-03-31,49.39,$-0.95,0.0
2016-12-31,49.45,$-5.40,0.0
2016-09-30,44.05,$-7.55,0.0
2016-06-30,32.72,$-16.75,0.0
2016-03-31,25.53,$-22.75,0.0
2015-12-31,21.28,$-31.75,0.0
2015-09-30,26.62,$-26.80,0.0
2015-06-30,45.11,$-0.50,0.0
2015-03-31,45.39,$10.90,4.16
2014-12-31,56.1,$22.95,2.44
2014-09-30,85.32,$19.90,4.29
2014-06-30,95.08,$2.20,43.22
2014-03-31,85.48,$5.30,16.13
2013-12-31,71.92,$1.55,46.4
2013-09-30,68.78,$2.70,25.47
2013-06-30,66.47,$-7.00,0.0
2013-03-31,75.5,$-22.00,0.0
2012-12-31,75.86,$-18.95,0.0
2012-09-30,83.35,$-20.05,0.0
2012-06-30,78.52,$-10.80,0.0
2012-03-31,73.34,$0.30,244.48
2011-12-31,68.48,$0.75,91.3
2011-09-30,70.23,$2.10,33.44
2011-06-30,111.6,$5.15,21.67
2011-03-31,124.36,$0.70,177.66
2010-12-31,104.2,$10.00,10.42
2010-09-30,107.42,$14.55,7.38
2010-06-30,107.08,$10.85,9.87
2010-03-31,108.87,$15.85,6.87
2009-12-31,112.97,$12.40,9.11
