ING Group PE Ratio Historical Data,ING Group PE Ratio Historical Data,ING Group PE Ratio Historical Data,ING Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.27,,10.79
2024-06-30,16.76,$1.60,10.47
2024-03-31,15.32,$1.72,8.91
2023-09-30,12.25,$1.61,7.61
2023-03-31,10.38,$1.31,7.93
2022-03-31,8.31,$1.07,7.77
2021-09-30,11.11,$1.14,9.74
2021-03-31,9.38,$1.12,8.37
2020-09-30,5.36,$1.14,4.7
2020-03-31,3.9,$1.35,2.89
2019-09-30,7.91,$1.54,5.13
2019-03-31,8.99,$1.52,5.91
2018-06-30,10.39,$1.42,7.32
2017-06-30,12.06,$1.29,9.35
2016-06-30,6.81,$1.30,5.24
2015-12-31,8.55,$1.45,5.9
2015-09-30,8.98,$1.57,5.72
2015-06-30,10.36,$1.56,6.64
2015-03-31,9.05,$1.55,5.84
2014-12-31,8.04,$0.33,24.36
2014-09-30,8.79,$0.17,51.73
2014-06-30,8.69,$-0.09,0.0
2014-03-31,8.83,$-0.19,0.0
2013-12-31,8.68,$1.13,7.68
2013-09-30,7.03,$1.43,4.92
2013-06-30,5.63,$1.59,3.54
2013-03-31,4.47,$1.70,2.63
2012-12-31,5.88,$1.49,3.95
2012-09-30,4.89,$1.62,3.02
2012-06-30,4.14,$1.99,2.08
2011-12-31,4.44,$2.14,2.08
2011-09-30,4.37,$1.88,2.32
2011-06-30,7.67,$1.40,5.48
2011-03-31,7.88,$1.24,6.35
2010-12-31,6.07,$1.15,5.28
2010-09-30,6.38,$0.51,12.5
2010-06-30,4.59,$0.74,6.21
2010-03-31,6.17,$-0.17,0.0
2009-12-31,6.08,$-0.39,0.0
2009-09-30,11.05,$0.14,78.93
