Gentex PE Ratio Historical Data,Gentex PE Ratio Historical Data,Gentex PE Ratio Historical Data,Gentex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.69,,16.59
2024-06-30,33.45,$1.79,18.69
2024-03-31,35.72,$1.89,18.9
2023-12-31,32.18,$1.84,17.49
2023-09-30,31.94,$1.71,18.68
2023-06-30,28.6,$1.57,18.22
2023-03-31,27.28,$1.41,19.35
2022-12-31,26.43,$1.36,19.43
2022-09-30,22.99,$1.34,17.16
2022-06-30,26.86,$1.35,19.9
2022-03-31,27.89,$1.40,19.92
2021-12-31,33.21,$1.49,22.29
2021-09-30,31.32,$1.72,18.21
2021-06-30,31.31,$1.88,16.65
2021-03-31,33.64,$1.51,22.28
2020-12-31,31.89,$1.41,22.62
2020-09-30,24.1,$1.22,19.75
2020-06-30,24.0,$1.18,20.34
2020-03-31,20.53,$1.61,12.75
2019-12-31,26.75,$1.65,16.21
2019-09-30,25.3,$1.67,15.15
2019-06-30,22.5,$1.65,13.64
2019-03-31,18.81,$1.63,11.54
2018-12-31,18.28,$1.63,11.22
2018-09-30,19.31,$1.68,11.5
2018-06-30,20.62,$1.57,13.13
2018-03-31,20.53,$1.48,13.87
2017-12-31,18.59,$1.41,13.19
2017-09-30,17.49,$1.26,13.88
2017-06-30,16.67,$1.27,13.12
2017-03-31,18.66,$1.26,14.81
2016-12-31,17.15,$1.21,14.17
2016-09-30,15.22,$1.20,12.68
2016-06-30,13.31,$1.15,11.57
2016-03-31,13.44,$1.10,12.22
2015-12-31,13.64,$1.08,12.63
2015-09-30,13.13,$1.02,12.87
2015-06-30,13.84,$1.00,13.91
2015-03-31,15.35,$1.01,15.28
2014-12-31,15.09,$0.98,15.4
2014-09-30,11.12,$0.98,11.34
2014-06-30,12.01,$0.93,12.99
2014-03-31,12.96,$0.85,15.34
2013-12-31,13.5,$0.77,17.53
2013-09-30,10.42,$0.67,15.55
2013-06-30,9.33,$0.63,14.93
2013-03-31,8.04,$0.59,13.74
2012-12-31,7.52,$0.59,12.86
2012-09-30,6.73,$0.59,11.51
2012-06-30,8.22,$0.59,13.93
2012-03-31,9.6,$0.59,16.4
2011-12-31,11.54,$0.57,20.25
2011-09-30,9.34,$0.56,16.68
2011-06-30,11.69,$0.53,22.06
2011-03-31,11.65,$0.52,22.63
2010-12-31,11.35,$0.49,23.4
2010-09-30,7.45,$0.47,16.03
2010-06-30,6.82,$0.43,15.86
2010-03-31,7.33,$0.36,20.64
2009-12-31,6.7,$0.24,28.49
