FirstCash Holdings PE Ratio Historical Data,FirstCash Holdings PE Ratio Historical Data,FirstCash Holdings PE Ratio Historical Data,FirstCash Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,114.23,,21.88
2024-06-30,104.88,$5.22,20.09
2024-03-31,127.54,$5.13,24.86
2023-12-31,108.39,$4.80,22.58
2023-09-30,100.38,$4.99,20.12
2023-06-30,93.33,$4.99,18.7
2023-03-31,95.37,$5.81,16.41
2022-12-31,86.91,$5.37,16.18
2022-09-30,73.35,$4.35,16.86
2022-06-30,69.22,$3.91,17.7
2022-03-31,69.76,$2.80,24.91
2021-12-31,73.9,$3.04,24.31
2021-09-30,86.11,$3.13,27.51
2021-06-30,74.95,$2.67,28.07
2021-03-31,64.14,$2.59,24.76
2020-12-31,68.11,$3.04,22.41
2020-09-30,55.39,$3.06,18.1
2020-06-30,65.04,$3.46,18.8
2019-12-31,77.16,$3.82,20.2
2019-09-30,87.43,$3.64,24.02
2019-06-30,95.4,$3.61,26.43
2019-03-31,82.28,$3.61,22.79
2018-12-31,68.62,$3.30,20.79
2020-03-31,68.87,$3.11,22.14
2018-09-30,77.54,$3.76,20.62
2018-06-30,84.74,$3.59,23.6
2018-03-31,76.44,$3.24,23.59
2017-12-31,63.26,$3.01,21.02
2017-09-30,59.04,$2.34,25.23
2017-06-30,54.33,$1.71,31.77
2017-03-31,45.64,$1.80,25.35
2016-12-31,43.46,$1.60,27.16
2016-09-30,43.35,$1.53,28.34
2016-06-30,47.15,$1.97,23.94
2016-03-31,42.19,$2.03,20.78
2015-12-31,34.19,$2.15,15.9
2015-09-30,36.59,$2.40,15.25
2015-06-30,41.64,$2.55,16.33
2015-03-31,42.49,$2.85,14.91
2014-12-31,50.85,$3.10,16.4
2014-06-30,52.6,$2.95,17.83
2014-03-31,46.09,$2.93,15.73
2013-12-31,56.48,$2.84,19.89
2013-09-30,52.87,$2.93,18.05
2013-06-30,44.95,$2.78,16.17
2013-03-31,53.28,$2.81,18.96
2012-12-31,45.32,$2.71,16.72
2012-09-30,42.02,$2.48,16.94
2012-06-30,36.69,$2.43,15.1
2012-03-31,39.17,$2.35,16.67
2011-12-31,32.05,$2.47,12.98
2011-09-30,38.31,$2.39,16.03
2011-06-30,38.35,$2.26,16.97
2011-03-31,35.25,$2.46,14.33
2010-12-31,28.3,$2.14,13.23
2010-09-30,25.35,$1.91,13.27
2014-09-30,51.13,$1.94,26.35
2010-06-30,19.91,$1.65,12.07
2010-03-31,19.74,$1.65,11.96
2009-12-31,20.27,$1.64,12.36
