Okta PE Ratio Historical Data,Okta PE Ratio Historical Data,Okta PE Ratio Historical Data,Okta PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,74.45,,0.0
2024-07-31,93.94,$-0.84,0.0
2024-04-30,92.98,$-1.67,0.0
2024-01-31,82.65,$-2.17,0.0
2023-10-31,67.41,$-2.86,0.0
2023-07-31,76.86,$-3.69,0.0
2023-04-30,68.53,$-4.35,0.0
2023-01-31,73.61,$-5.17,0.0
2022-10-31,56.12,$-5.78,0.0
2022-07-31,98.45,$-5.90,0.0
2022-04-30,119.31,$-6.39,0.0
2022-01-31,197.89,$-5.66,0.0
2021-10-31,247.18,$-4.68,0.0
2021-07-31,247.79,$-3.80,0.0
2021-04-30,269.7,$-2.45,0.0
2021-01-31,259.01,$-2.09,0.0
2020-10-31,209.83,$-1.93,0.0
2020-07-31,220.98,$-1.90,0.0
2020-04-30,151.3,$-1.79,0.0
2020-01-31,128.05,$-1.78,0.0
2019-10-31,109.07,$-1.64,0.0
2019-07-31,130.83,$-1.38,0.0
2019-04-30,104.03,$-1.38,0.0
2019-01-31,82.43,$-1.17,0.0
2018-10-31,58.36,$-1.13,0.0
2018-07-31,49.65,$-1.21,0.0
2018-04-30,42.81,$-1.13,0.0
2018-01-31,29.45,$-1.61,0.0
