Cavco Industries PE Ratio Historical Data,Cavco Industries PE Ratio Historical Data,Cavco Industries PE Ratio Historical Data,Cavco Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,445.5,,25.95
2024-06-30,346.17,$17.17,20.16
2024-03-31,399.06,$18.35,21.75
2023-12-31,346.62,$19.71,17.59
2023-09-30,265.66,$22.10,12.02
2023-06-30,295.0,$25.59,11.53
2023-03-31,317.74,$26.93,11.8
2022-12-31,226.25,$27.34,8.28
2022-09-30,205.76,$29.25,7.03
2022-06-30,195.99,$25.06,7.82
2022-03-31,240.85,$21.35,11.28
2021-12-31,317.65,$18.26,17.4
2021-09-30,236.74,$11.81,20.05
2021-06-30,222.19,$9.37,23.71
2021-03-31,225.61,$8.25,27.35
2020-12-31,175.45,$6.83,25.69
2020-09-30,180.31,$6.96,25.91
2020-06-30,192.85,$7.59,25.41
2020-03-31,144.94,$8.10,17.89
2019-12-31,195.38,$8.98,21.76
2019-09-30,192.09,$8.17,23.51
2019-06-30,157.54,$7.59,20.76
2019-03-31,117.53,$7.68,15.3
2018-12-31,130.38,$7.84,16.63
2018-09-30,253.0,$7.07,35.79
2018-03-31,173.75,$6.68,26.01
2017-12-31,152.6,$5.47,27.9
2017-09-30,147.55,$5.26,28.05
2017-06-30,129.65,$5.94,21.83
2017-03-31,116.4,$5.69,20.46
2018-06-30,207.65,$5.10,40.72
2016-12-31,99.85,$3.75,26.63
2016-09-30,99.05,$3.29,30.11
2016-06-30,93.7,$3.15,29.75
2016-03-31,93.46,$3.15,29.67
2015-12-31,83.31,$3.04,27.4
2015-09-30,68.09,$2.89,23.56
2015-06-30,75.44,$2.61,28.9
2015-03-31,75.06,$2.65,28.32
2014-12-31,79.27,$2.46,32.22
2014-09-30,68.0,$2.38,28.57
2014-06-30,85.3,$2.27,37.58
2014-03-31,78.45,$1.89,41.51
2013-12-31,68.7,$1.62,42.41
2013-09-30,56.95,$1.17,48.68
2013-06-30,50.45,$0.85,59.35
2013-03-31,47.57,$0.71,67.0
2012-12-31,49.98,$0.75,66.64
2012-09-30,45.89,$0.78,58.83
2012-06-30,51.28,$0.84,61.05
2012-03-31,46.58,$1.97,23.64
2011-12-31,40.06,$1.96,20.44
2011-09-30,34.44,$1.72,20.02
2011-06-30,45.0,$1.58,28.48
2011-03-31,45.16,$0.41,110.15
2010-12-31,46.69,$0.07,667.0
2010-09-30,35.91,$-0.09,0.0
2010-06-30,35.18,$-0.22,0.0
2010-03-31,34.14,$-0.52,0.0
2009-12-31,35.92,$-0.57,0.0
