TAL Education Group PE Ratio Historical Data,TAL Education Group PE Ratio Historical Data,TAL Education Group PE Ratio Historical Data,TAL Education Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.05,,125.63
2024-05-31,11.36,$0.08,142.0
2024-02-29,14.73,$-0.01,0.0
2023-11-30,12.53,$-0.11,0.0
2023-08-31,7.05,$-0.15,0.0
2023-05-31,5.43,$-0.38,0.0
2023-02-28,7.03,$-0.46,0.0
2022-11-30,5.97,$-0.40,0.0
2022-02-28,2.84,$-0.32,0.0
2021-11-30,5.18,$-0.42,0.0
2021-08-31,5.32,$-0.34,0.0
2021-05-31,39.97,$-0.32,0.0
2021-02-28,77.54,$-0.19,0.0
2020-11-30,70.06,$-0.07,0.0
2020-08-31,73.81,$0.00,0.0
2020-05-31,56.46,$0.03,1882.0
2020-02-29,54.39,$-0.12,0.0
2022-08-31,5.78,$0.02,289.0
2019-11-30,44.26,$0.19,232.95
2019-08-31,35.63,$0.35,101.8
2019-05-31,34.41,$0.50,68.82
2019-02-28,35.6,$0.62,57.42
2018-11-30,28.07,$0.57,49.25
2018-08-31,29.6,$0.43,68.84
2018-05-31,42.46,$0.40,106.15
2018-02-28,37.76,$0.34,109.99
2017-11-30,27.88,$0.28,98.41
2017-08-31,30.43,$0.24,126.79
2017-05-31,19.41,$0.24,80.31
2017-02-28,14.35,$0.22,66.73
2016-11-30,12.7,$0.18,71.85
2016-08-31,9.92,$0.17,58.32
2016-05-31,8.87,$0.19,47.07
2016-02-29,8.59,$0.20,42.95
2015-11-30,7.31,$0.21,35.38
2015-08-31,5.09,$0.21,24.44
2015-05-31,6.01,$0.15,41.46
2015-02-28,5.1,$0.14,37.77
2014-11-30,5.1,$0.14,35.99
2014-08-31,5.68,$0.05,113.54
2014-05-31,3.82,$0.02,208.54
2014-02-28,3.94,$0.04,102.8
2022-05-31,4.1,$0.02,205.0
2013-11-30,3.27,$0.11,31.14
2013-08-31,1.91,$0.09,20.84
2013-05-31,1.65,$0.08,21.06
2013-02-28,1.35,$0.07,18.84
2012-11-30,1.29,$0.07,17.6
2012-08-31,1.08,$0.07,16.56
2012-05-31,1.51,$0.04,37.74
2012-02-29,1.58,$0.05,32.68
2011-11-30,1.47,$0.04,40.11
2011-05-31,1.58,$0.06,25.58
