First Horizon PE Ratio Historical Data,First Horizon PE Ratio Historical Data,First Horizon PE Ratio Historical Data,First Horizon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.44,,17.8
2024-09-30,15.53,$0.98,15.85
2024-06-30,15.62,$1.21,12.91
2024-03-31,15.1,$1.43,10.56
2023-12-31,13.74,$1.53,8.98
2023-09-30,10.58,$1.67,6.34
2023-06-30,10.68,$1.89,5.65
2023-03-31,16.64,$1.62,10.27
2022-12-31,22.71,$1.53,14.85
2022-09-30,21.1,$1.48,14.26
2022-06-30,20.01,$1.44,13.9
2022-03-31,21.36,$1.68,12.72
2021-12-31,14.75,$1.76,8.38
2021-09-30,14.59,$2.31,6.31
2021-06-30,15.32,$2.07,7.4
2020-12-31,11.13,$1.58,7.04
2020-09-30,8.13,$1.53,5.31
2020-06-30,8.45,$0.98,8.62
2020-03-31,6.73,$1.16,5.8
2019-12-31,13.6,$1.47,9.25
2021-03-31,14.87,$1.41,10.55
2019-09-30,13.19,$1.31,10.07
2019-06-30,12.05,$1.79,6.73
2019-03-31,11.18,$1.69,6.61
2018-12-31,10.42,$1.65,6.32
2018-09-30,13.55,$1.15,11.79
2018-06-30,13.92,$0.60,23.2
2018-03-31,14.6,$0.73,20.0
2017-12-31,15.41,$0.69,22.33
2017-09-30,14.69,$1.12,13.11
2017-06-30,13.29,$1.11,11.97
2017-03-31,14.04,$0.97,14.47
2016-12-31,15.11,$0.94,16.08
2016-09-30,11.46,$0.91,12.6
2016-06-30,10.32,$0.93,11.1
2016-03-31,9.77,$0.91,10.73
2015-12-31,10.77,$0.38,28.33
2015-09-30,10.47,$0.38,27.55
2015-06-30,11.52,$0.28,41.15
2015-03-31,10.47,$0.38,27.54
2014-12-31,9.91,$0.90,11.01
2014-09-30,8.92,$0.91,9.81
2014-06-30,8.58,$0.27,31.79
2014-03-31,8.89,$0.12,74.11
2013-12-31,8.36,$0.10,83.62
2013-09-30,7.85,$0.06,130.87
2013-06-30,7.97,$0.61,13.06
2013-03-31,7.56,$-0.06,0.0
2012-12-31,6.99,$-0.11,0.0
2012-09-30,6.78,$-0.15,0.0
2012-06-30,6.09,$-0.11,0.0
2012-03-31,7.29,$0.55,13.26
2011-12-31,5.62,$0.58,9.68
2011-09-30,4.18,$0.25,16.71
2011-06-30,6.68,$0.18,37.1
2011-03-31,7.84,$0.03,261.27
2010-12-31,8.23,$-0.23,0.0
2010-09-30,7.26,$-0.33,0.0
2010-06-30,6.66,$-0.62,0.0
2010-03-31,7.51,$-1.16,0.0
2009-12-31,6.66,$-1.40,0.0
