Alcon PE Ratio Historical Data,Alcon PE Ratio Historical Data,Alcon PE Ratio Historical Data,Alcon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,94.52,,42.58
2024-06-30,89.08,$2.22,40.13
2024-03-31,83.29,$2.11,39.47
2023-12-31,78.12,$1.96,39.86
2023-09-30,77.06,$0.90,85.62
2023-06-30,82.11,$0.72,114.04
2023-03-31,70.54,$0.68,103.74
2022-12-31,68.55,$0.67,102.31
2022-09-30,58.18,$1.15,50.59
2022-06-30,69.89,$0.92,75.97
2022-03-31,79.33,$0.93,85.3
2021-12-31,87.12,$0.76,114.63
2021-09-30,80.47,$0.67,120.1
2021-06-30,70.26,$0.37,189.89
2021-03-31,70.18,$-0.80,0.0
2020-12-31,65.98,$-1.09,0.0
2020-09-30,56.95,$-1.47,0.0
2020-06-30,57.32,$-1.31,0.0
2020-03-31,50.82,$-1.25,0.0
