Rogers Communication PE Ratio Historical Data,Rogers Communication PE Ratio Historical Data,Rogers Communication PE Ratio Historical Data,Rogers Communication PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.67,,32.77
2024-06-30,36.53,$1.18,30.96
2024-03-31,40.12,$0.80,50.15
2023-12-31,45.43,$1.20,37.86
2023-09-30,36.96,$1.48,24.97
2023-06-30,43.53,$2.17,20.06
2023-03-31,43.84,$2.62,16.73
2022-12-31,43.94,$2.49,17.65
2022-09-30,35.86,$2.38,15.07
2022-06-30,44.16,$2.59,17.05
2022-03-31,51.9,$2.48,20.93
2021-12-31,43.24,$2.42,17.87
2021-09-30,41.98,$2.47,17.0
2021-06-30,47.45,$2.48,19.13
2021-03-31,40.84,$2.38,17.16
2020-12-31,40.92,$2.34,17.49
2020-09-30,34.54,$2.36,14.64
2020-06-30,34.7,$2.47,14.05
2020-03-31,35.55,$2.94,12.09
2019-12-31,42.17,$3.00,14.06
2019-09-30,41.04,$3.03,13.55
2019-06-30,44.74,$3.04,14.72
2019-03-31,44.67,$2.99,14.94
2018-12-31,42.25,$3.05,13.85
2018-09-30,42.09,$2.96,14.22
2018-06-30,38.58,$2.81,13.73
2018-03-31,36.04,$2.76,13.06
2017-12-31,40.75,$2.56,15.92
2017-09-30,40.93,$1.89,21.66
2017-06-30,37.21,$1.48,25.14
2017-03-31,34.58,$1.31,26.4
2016-12-31,29.92,$1.23,24.32
2016-09-30,32.59,$1.69,19.29
2016-06-30,30.78,$2.06,14.94
2016-03-31,30.2,$2.04,14.8
2015-12-31,25.76,$2.08,12.39
2015-09-30,25.53,$2.11,12.1
2015-06-30,26.02,$1.99,13.08
2015-03-31,24.24,$2.12,11.44
2014-12-31,27.82,$2.25,12.37
2014-09-30,26.52,$2.35,11.29
2014-06-30,28.24,$2.44,11.57
2014-03-31,28.77,$2.76,10.42
2013-12-31,31.08,$3.15,9.87
2013-03-31,34.09,$3.34,10.21
2012-12-31,30.12,$3.26,9.24
2012-09-30,26.5,$2.85,9.3
2012-06-30,23.53,$2.80,8.4
2012-03-31,25.51,$2.94,8.68
2011-12-31,24.49,$3.15,7.77
2013-09-30,29.28,$3.17,9.24
2011-09-30,21.55,$2.90,7.43
2011-06-30,24.66,$2.64,9.34
2011-03-31,22.49,$2.63,8.55
2010-12-31,21.17,$2.64,8.02
2010-09-30,22.68,$2.56,8.86
2010-06-30,19.68,$2.68,7.34
2010-03-31,20.32,$2.49,8.16
2009-12-31,18.28,$2.34,7.81
2009-09-30,16.49,$2.73,6.04
