Block PE Ratio Historical Data,Block PE Ratio Historical Data,Block PE Ratio Historical Data,Block PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,73.68,,57.56
2024-06-30,64.49,$1.28,50.38
2024-03-31,84.58,$0.77,109.84
2023-12-31,77.35,0,0.0
2023-09-30,44.26,$-0.47,0.0
2023-06-30,66.57,$-0.44,0.0
2023-03-31,68.65,$-0.60,0.0
2022-12-31,62.84,$-0.95,0.0
2022-09-30,54.99,$-0.93,0.0
2022-06-30,61.46,$-0.91,0.0
2022-03-31,135.6,$-0.15,0.0
2021-12-31,161.51,$0.31,521.0
2021-09-30,239.84,$1.07,224.15
2021-06-30,243.8,$1.14,213.86
2021-03-31,227.05,$0.71,319.79
2020-12-31,217.64,$0.39,558.05
2020-09-30,162.55,$0.63,258.02
2020-06-30,104.94,$0.62,169.26
2020-03-31,52.38,$0.63,83.14
2019-12-31,62.56,$0.78,80.21
2019-09-30,61.95,$-0.12,0.0
2019-06-30,72.53,$-0.14,0.0
2019-03-31,74.92,$-0.13,0.0
2018-12-31,56.09,$-0.10,0.0
2018-09-30,99.01,$-0.07,0.0
2018-06-30,61.64,$-0.15,0.0
2018-03-31,49.2,$-0.18,0.0
2017-12-31,34.67,$-0.16,0.0
2017-09-30,28.81,$-0.16,0.0
2017-06-30,23.46,$-0.21,0.0
2017-03-31,17.28,$-0.25,0.0
2016-12-31,13.63,$-0.50,0.0
2016-09-30,11.66,$-0.80,0.0
