Transportadora De Gas Sa Ord B PE Ratio Historical Data,Transportadora De Gas Sa Ord B PE Ratio Historical Data,Transportadora De Gas Sa Ord B PE Ratio Historical Data,Transportadora De Gas Sa Ord B PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.47,,24.96
2024-06-30,18.98,$0.82,23.15
2024-03-31,15.1,$0.53,28.49
2023-12-31,15.09,$0.28,53.89
2023-09-30,10.18,$0.88,11.57
2023-06-30,13.78,$1.01,13.64
2023-03-31,10.24,$0.96,10.67
2022-12-31,11.8,$1.27,9.29
2022-09-30,7.38,$1.52,4.86
2022-06-30,5.14,$1.58,3.25
2022-03-31,7.01,$1.52,4.61
2021-12-31,4.44,$1.30,3.42
2021-09-30,4.93,$0.54,9.13
2021-06-30,4.63,$0.28,16.54
2021-03-31,4.83,$0.21,23.0
2020-12-31,5.2,$0.28,18.57
2020-09-30,4.16,$1.04,4.0
2020-06-30,5.63,$1.01,5.57
2020-03-31,4.6,$1.42,3.24
2019-12-31,7.17,$1.50,4.78
2019-09-30,8.14,$2.30,3.54
2019-06-30,13.87,$2.45,5.67
2019-03-31,11.48,$2.16,5.32
2018-12-31,13.09,$2.25,5.81
2018-09-30,12.67,$1.32,9.6
2018-06-30,10.23,$1.34,7.64
2018-03-31,17.14,$1.30,13.19
2017-12-31,18.74,$1.02,18.36
2017-09-30,17.12,$0.88,19.53
2017-06-30,14.0,$0.76,18.4
2017-03-31,11.98,$0.66,18.04
2016-12-31,7.6,$0.39,19.74
2016-09-30,5.76,$0.06,99.59
2016-06-30,5.69,$-0.12,0.0
2016-03-31,4.92,$-0.19,0.0
2015-12-31,5.09,$-0.14,0.0
2015-09-30,3.29,$0.01,0.0
2015-06-30,3.78,$0.15,24.53
2015-03-31,4.46,$0.16,27.21
2014-12-31,2.93,$0.07,43.36
2014-09-30,2.68,$0.12,23.2
2014-06-30,2.23,$0.04,57.76
2014-03-31,1.94,$-0.07,0.0
2013-12-31,1.75,$0.13,13.0
2013-09-30,1.78,$0.19,9.23
2013-06-30,1.42,$0.29,4.92
2013-03-31,1.21,$0.34,3.58
2012-12-31,1.27,$0.32,4.0
2012-09-30,1.06,$0.31,3.42
2012-06-30,1.19,$0.28,4.25
2012-03-31,1.85,$0.31,5.99
2011-12-31,1.98,$0.32,6.22
2011-09-30,2.04,$0.22,9.23
2011-06-30,2.51,$0.26,9.64
2011-03-31,2.17,$0.16,13.27
2010-12-31,2.64,$0.15,17.15
2010-09-30,1.76,$0.36,4.93
2010-06-30,1.48,$0.30,4.96
2010-03-31,1.57,$0.34,4.64
2009-12-31,1.37,$0.22,6.18
