TransMedics PE Ratio Historical Data,TransMedics PE Ratio Historical Data,TransMedics PE Ratio Historical Data,TransMedics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,127.15,,3178.75
2024-06-30,150.62,$0.04,3765.5
2024-03-31,73.94,$-0.34,0.0
2023-12-31,78.93,$-0.77,0.0
2023-09-30,54.75,$-1.10,0.0
2023-06-30,83.98,$-0.57,0.0
2023-03-31,75.73,$-0.95,0.0
2022-12-31,61.72,$-1.25,0.0
2022-09-30,41.74,$-1.50,0.0
2022-06-30,31.45,$-1.72,0.0
2022-03-31,26.94,$-1.70,0.0
2021-12-31,19.16,$-1.61,0.0
2021-09-30,33.09,$-1.38,0.0
2021-06-30,33.18,$-1.10,0.0
2021-03-31,41.49,$-1.07,0.0
2020-12-31,19.9,$-1.20,0.0
2020-09-30,13.78,$-1.40,0.0
2020-06-30,17.92,$-1.60,0.0
2020-03-31,12.08,$-1.94,0.0
