Reliance PE Ratio Historical Data,Reliance PE Ratio Historical Data,Reliance PE Ratio Historical Data,Reliance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,296.34,,15.13
2024-06-30,284.49,$19.59,14.52
2024-03-31,331.68,$21.41,15.49
2023-12-31,276.64,$22.61,12.24
2023-09-30,258.43,$23.79,10.86
2023-06-30,266.7,$25.25,10.56
2023-03-31,251.06,$27.91,9.0
2022-12-31,197.18,$29.81,6.61
2022-09-30,169.16,$30.57,5.53
2022-06-30,164.01,$30.27,5.42
2022-03-31,176.26,$26.20,6.73
2021-12-31,155.23,$19.88,7.81
2021-09-30,135.7,$14.75,9.2
2021-06-30,143.16,$9.84,14.55
2020-12-31,112.63,$5.68,19.83
2020-09-30,95.47,$6.11,15.62
2020-06-30,88.29,$8.72,10.13
2020-03-31,80.95,$9.88,8.19
2019-12-31,109.88,$11.65,9.43
2021-03-31,143.89,$12.01,11.98
2019-09-30,91.0,$9.11,9.99
2019-06-30,86.39,$8.74,9.88
2019-03-31,81.88,$9.21,8.89
2018-12-31,64.16,$8.71,7.37
2018-09-30,76.42,$11.58,6.6
2018-06-30,77.99,$10.87,7.17
2018-03-31,75.98,$9.11,8.34
2017-12-31,75.6,$8.33,9.08
2017-09-30,66.72,$5.08,13.13
2017-06-30,63.38,$4.44,14.27
2017-03-31,69.23,$4.42,15.66
2016-12-31,68.44,$4.17,16.41
2016-09-30,61.64,$4.27,14.44
2016-06-30,65.44,$4.28,15.29
2016-03-31,58.56,$4.10,14.28
2015-12-31,48.71,$4.13,11.8
2015-09-30,45.13,$4.37,10.33
2015-06-30,50.2,$4.89,10.27
2015-03-31,50.39,$4.91,10.26
2014-12-31,50.18,$4.72,10.63
2014-09-30,55.73,$4.33,12.87
2014-06-30,59.75,$4.34,13.77
2014-03-31,57.0,$4.17,13.67
2013-12-31,60.88,$4.12,14.78
2013-09-30,58.55,$4.63,12.65
2013-06-30,52.15,$4.85,10.75
2012-12-31,48.52,$5.34,9.09
2012-09-30,40.72,$5.19,7.85
2012-06-30,39.09,$4.98,7.85
2012-03-31,43.59,$4.67,9.33
2011-12-31,37.47,$4.44,8.44
2013-03-31,56.36,$4.76,11.84
2011-09-30,26.1,$4.20,6.21
2011-06-30,37.99,$3.72,10.21
2011-03-31,44.1,$3.24,13.61
2010-12-31,38.91,$2.61,14.91
2010-09-30,31.56,$3.33,9.48
2010-06-30,27.4,$3.25,8.43
2010-03-31,37.24,$2.34,15.91
2009-12-31,32.62,$2.01,16.23
