Cheniere Energy Partners PE Ratio Historical Data,Cheniere Energy Partners PE Ratio Historical Data,Cheniere Energy Partners PE Ratio Historical Data,Cheniere Energy Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,48.22,,10.17
2024-06-30,48.3,$4.74,10.19
2024-03-31,50.21,$4.63,10.84
2023-12-31,47.24,$6.95,6.8
2023-09-30,50.52,$10.16,4.97
2023-06-30,42.14,$7.48,5.63
2023-03-31,42.27,$6.89,6.14
2022-12-31,49.78,$4.32,11.52
2022-09-30,45.88,$0.38,120.73
2022-06-30,37.74,$2.60,14.52
2021-12-31,34.42,$2.99,11.51
2021-09-30,32.63,$2.83,11.53
2021-06-30,34.96,$2.06,16.97
2021-03-31,32.28,$2.11,15.3
2020-12-31,26.93,$2.31,11.66
2020-09-30,24.97,$2.41,10.36
2020-06-30,25.82,$2.68,9.64
2020-03-31,19.57,$2.34,8.36
2019-12-31,28.37,$2.25,12.61
2019-09-30,31.94,$2.07,15.43
2019-06-30,29.21,$2.48,11.78
2019-03-31,28.64,$2.59,11.06
2018-12-31,24.32,$2.51,9.69
2018-09-30,26.12,$2.58,10.13
2018-06-30,23.45,$0.88,26.64
2018-03-31,18.65,$-3.38,0.0
2017-12-31,18.69,$-3.25,0.0
2017-09-30,17.89,$-3.94,0.0
2017-06-30,19.83,$-3.11,0.0
2017-03-31,19.51,$0.39,50.03
2016-12-31,17.16,$-0.49,0.0
2016-09-30,17.15,$-0.56,0.0
2016-06-30,17.31,$-0.11,0.0
2016-03-31,16.4,$0.09,182.28
2015-12-31,14.56,$-0.44,0.0
2015-09-30,14.48,$-0.50,0.0
2015-06-30,16.72,$-0.60,0.0
2015-03-31,16.03,$-1.44,0.0
2014-12-31,16.89,$-0.89,0.0
2014-09-30,17.04,$-0.84,0.0
2014-06-30,16.98,$-1.12,0.0
2014-03-31,15.22,$-0.16,0.0
2013-12-31,14.31,$-0.16,0.0
2013-09-30,12.99,$-0.11,0.0
2013-06-30,14.52,$0.26,55.86
2012-12-31,9.99,$0.38,26.28
2012-09-30,10.53,$0.14,75.24
2012-06-30,10.24,$0.20,51.18
2012-03-31,9.49,$0.32,29.67
2011-12-31,7.88,$-0.02,0.0
2013-03-31,13.09,$0.27,48.49
2011-09-30,5.78,$0.15,38.56
2011-06-30,7.49,$-0.18,0.0
2011-03-31,7.78,$0.28,27.79
2010-12-31,8.52,$0.65,13.12
2010-09-30,7.31,$1.04,7.03
2010-06-30,6.52,$1.51,4.32
2010-03-31,6.12,$1.42,4.31
2009-12-31,4.69,$1.14,4.11
2009-09-30,3.41,$0.66,5.17
