Maximus PE Ratio Historical Data,Maximus PE Ratio Historical Data,Maximus PE Ratio Historical Data,Maximus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,89.94,,18.86
2024-06-30,85.41,$4.77,17.91
2024-03-31,83.33,$3.81,21.87
2023-12-31,82.99,$3.02,27.48
2023-09-30,73.62,$2.63,27.99
2023-06-30,83.03,$2.80,29.65
2023-03-31,77.05,$2.81,27.42
2022-12-31,71.55,$3.09,23.16
2022-09-30,56.21,$3.29,17.09
2022-06-30,60.46,$2.99,20.22
2022-03-31,72.18,$3.99,18.09
2021-12-31,76.44,$4.48,17.06
2021-09-30,79.57,$4.65,17.11
2021-06-30,83.84,$4.86,17.25
2021-03-31,84.59,$3.78,22.38
2020-09-30,64.53,$3.40,18.98
2020-06-30,66.21,$3.31,20.0
2020-03-31,54.46,$3.30,16.5
2019-12-31,69.35,$3.84,18.06
2019-09-30,71.76,$3.89,18.45
2020-12-31,69.3,$3.82,18.14
2019-06-30,67.38,$3.50,19.25
2019-03-31,65.7,$3.44,19.1
2018-12-31,60.04,$3.32,18.08
2018-09-30,59.78,$3.35,17.85
2018-06-30,57.03,$3.45,16.53
2018-03-31,61.24,$3.40,18.01
2017-12-31,65.64,$3.36,19.53
2017-09-30,59.1,$3.18,18.59
2017-06-30,57.35,$3.14,18.26
2017-03-31,56.91,$3.07,18.54
2016-12-31,51.01,$3.01,16.95
2016-09-30,51.67,$2.70,19.14
2016-06-30,50.54,$2.46,20.54
2016-03-31,48.01,$2.25,21.34
2015-12-31,51.25,$2.14,23.95
2015-09-30,54.23,$2.27,23.89
2015-03-31,60.7,$2.23,27.22
2014-12-31,49.82,$2.24,22.24
2014-09-30,36.43,$2.10,17.35
2014-06-30,39.01,$2.08,18.75
2014-03-31,40.63,$1.99,20.42
2013-12-31,39.8,$1.86,21.46
2013-09-30,40.72,$1.67,24.38
2013-06-30,33.63,$1.50,22.42
2013-03-31,36.06,$1.40,25.85
2012-12-31,28.47,$1.15,24.87
2012-09-30,26.86,$1.10,24.53
2012-06-30,23.23,$1.12,20.74
2012-03-31,18.22,$1.11,16.49
2011-12-31,18.49,$1.52,12.16
2011-09-30,15.57,$1.52,10.24
2011-06-30,18.41,$1.40,13.13
2015-06-30,59.81,$1.43,41.9
2011-03-31,18.03,$1.05,17.22
2010-12-31,14.54,$1.05,13.81
2010-09-30,13.6,$0.93,14.7
2010-06-30,12.75,$0.83,15.37
2010-03-31,13.4,$0.75,17.99
2009-09-30,10.2,$0.66,15.46
