Lyft PE Ratio Historical Data,Lyft PE Ratio Historical Data,Lyft PE Ratio Historical Data,Lyft PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.62,,0.0
2024-06-30,14.1,$-0.16,0.0
2024-03-31,19.35,$-0.47,0.0
2023-12-31,14.99,$-0.89,0.0
2023-09-30,10.54,$-2.46,0.0
2023-06-30,9.59,$-3.61,0.0
2023-03-31,9.27,$-4.39,0.0
2022-12-31,11.02,$-4.46,0.0
2022-09-30,13.17,$-3.58,0.0
2022-06-30,13.28,$-2.61,0.0
2022-03-31,38.4,$-2.29,0.0
2021-12-31,42.73,$-3.03,0.0
2021-09-30,53.59,$-3.71,0.0
2021-06-30,60.48,$-4.96,0.0
2021-03-31,63.18,$-5.61,0.0
2020-12-31,49.13,$-5.61,0.0
2020-09-30,27.55,$-5.37,0.0
2020-06-30,33.01,$-5.48,0.0
2020-03-31,26.85,$-6.30,0.0
2019-12-31,43.02,$-53.52,0.0
