Stantec PE Ratio Historical Data,Stantec PE Ratio Historical Data,Stantec PE Ratio Historical Data,Stantec PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,82.39,,36.78
2024-06-30,83.33,$2.24,37.2
2024-03-31,82.67,$2.29,36.1
2023-12-31,79.69,$2.20,36.22
2023-09-30,64.34,$2.21,29.12
2023-06-30,64.55,$1.98,32.6
2023-03-31,57.68,$1.82,31.69
2022-12-31,47.22,$1.71,27.62
2022-09-30,43.05,$1.34,32.13
2022-06-30,42.89,$1.37,31.3
2022-03-31,48.95,$1.40,34.96
2021-12-31,54.76,$1.43,38.29
2021-09-30,45.59,$1.43,31.88
2021-06-30,43.22,$1.34,32.25
2021-03-31,41.31,$1.22,33.86
2020-12-31,31.26,$1.13,27.66
2020-09-30,29.1,$1.30,22.38
2020-06-30,29.48,$1.28,23.03
2020-03-31,24.33,$1.27,19.16
2019-12-31,26.82,$1.31,20.47
2019-09-30,20.93,$0.94,22.26
2019-06-30,22.52,$0.43,52.38
2019-03-31,22.1,$0.37,59.73
2018-12-31,20.34,$0.32,63.57
2018-09-30,23.02,$0.48,47.96
2018-06-30,23.66,$0.92,25.72
2018-03-31,22.64,$1.28,17.69
2017-12-31,25.56,$0.65,39.33
2017-09-30,25.29,$0.77,32.84
2017-06-30,22.79,$0.78,29.22
2017-03-31,23.43,$0.30,78.1
2016-12-31,22.76,$0.91,25.01
2016-09-30,21.13,$0.91,23.22
2016-06-30,21.69,$0.99,21.91
2016-03-31,22.62,$1.21,18.7
2015-12-31,22.04,$1.31,16.82
2015-09-30,19.41,$1.43,13.57
2015-06-30,25.79,$1.97,13.09
2015-03-31,21.04,$2.03,10.37
2014-12-31,24.06,$2.03,11.88
2014-09-30,28.54,$2.05,13.92
2014-06-30,27.06,$1.57,17.23
2014-03-31,26.58,$1.54,17.26
2013-12-31,26.91,$1.53,17.65
2013-09-30,22.17,$1.52,14.63
2013-06-30,18.28,$1.42,12.92
2013-03-31,18.91,$1.35,14.01
2012-12-31,17.18,$1.32,13.06
2012-09-30,14.5,$0.26,56.88
2012-06-30,12.15,$0.20,60.77
2012-03-31,13.46,$0.16,86.83
2011-12-31,11.46,$0.15,76.42
2011-09-30,9.36,$1.14,8.21
2011-06-30,12.21,$1.18,10.39
2011-03-31,12.62,$1.14,11.12
2010-12-31,11.77,$1.02,11.59
2010-09-30,11.11,$0.99,11.22
2010-06-30,9.31,$0.54,17.24
2010-03-31,10.97,$0.52,21.1
2009-12-31,12.13,$0.55,22.06
