SPX Technologies PE Ratio Historical Data,SPX Technologies PE Ratio Historical Data,SPX Technologies PE Ratio Historical Data,SPX Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,171.73,,77.36
2024-06-30,142.14,$2.22,64.03
2024-03-31,123.13,$2.05,60.06
2023-12-31,101.01,$1.92,52.61
2023-09-30,81.4,$0.65,125.23
2023-06-30,84.97,$1.16,73.25
2023-03-31,70.58,$0.67,105.34
2022-12-31,65.65,$0.00,0.0
2022-09-30,55.22,$0.74,74.62
2022-06-30,52.84,$7.77,6.8
2022-03-31,49.41,$8.81,5.61
2021-12-31,59.68,$9.09,6.57
2021-09-30,53.45,$9.45,5.66
2021-06-30,61.08,$2.94,20.78
2020-12-31,54.54,$2.12,25.73
2020-09-30,46.38,$2.27,20.43
2020-06-30,41.15,$2.25,18.29
2020-03-31,32.64,$2.09,15.62
2019-12-31,50.88,$1.57,32.41
2019-09-30,40.01,$1.77,22.6
2019-06-30,33.02,$1.44,22.93
2019-03-31,34.79,$1.52,22.89
2018-12-31,28.01,$2.86,9.79
2018-09-30,33.31,$2.49,13.38
2018-06-30,35.05,$2.13,16.46
2017-12-31,31.39,$2.02,15.54
2017-09-30,29.34,$-1.36,0.0
2017-06-30,25.16,$-1.29,0.0
2017-03-31,24.25,$-1.04,0.0
2016-12-31,23.72,$-1.78,0.0
2021-03-31,58.27,$0.59,98.76
2016-09-30,20.14,$-0.22,0.0
2016-06-30,14.85,$-2.84,0.0
2016-03-31,15.02,$-1.55,0.0
2015-12-31,9.33,$-2.04,0.0
2015-09-30,11.92,$-2.67,0.0
2015-06-30,18.26,$1.41,12.95
2015-03-31,21.3,$1.63,13.07
2014-12-31,21.46,$8.87,2.42
2014-09-30,23.36,$11.64,2.01
2014-06-30,26.81,$11.54,2.32
2014-03-31,24.27,$11.21,2.17
2013-12-31,24.5,$4.20,5.83
2013-09-30,20.77,$5.12,4.06
2013-06-30,17.61,$4.88,3.61
2013-03-31,19.25,$4.97,3.87
2012-12-31,17.05,$5.18,3.29
2012-09-30,15.84,$3.58,4.42
2012-06-30,15.76,$3.62,4.35
2012-03-31,18.64,$3.36,5.55
2011-12-31,14.44,$3.55,4.07
2011-09-30,10.81,$3.61,2.99
2011-06-30,19.63,$3.19,6.15
2011-03-31,18.79,$4.09,4.59
2010-12-31,16.86,$4.08,4.13
2010-09-30,14.87,$1.33,11.18
2010-06-30,12.36,$1.48,8.35
2010-03-31,15.46,$0.59,26.2
2009-12-31,12.7,$0.63,20.15
2009-09-30,14.16,$2.37,5.97
