WESCO PE Ratio Historical Data,WESCO PE Ratio Historical Data,WESCO PE Ratio Historical Data,WESCO PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,181.56,,14.1
2024-06-30,158.11,$12.88,12.28
2024-03-31,170.42,$12.01,14.19
2023-12-31,172.56,$13.54,12.74
2023-09-30,142.43,$14.99,9.5
2023-06-30,176.9,$15.09,11.72
2023-03-31,152.32,$15.63,9.75
2022-12-31,123.11,$15.34,8.03
2022-09-30,117.39,$14.37,8.17
2022-06-30,105.31,$12.09,8.71
2022-03-31,127.97,$10.16,12.6
2021-12-31,129.39,$7.84,16.5
2021-09-30,113.39,$5.02,22.59
2021-06-30,101.1,$4.31,23.46
2021-03-31,85.08,$1.45,58.68
2020-12-31,77.19,$1.40,55.13
2020-09-30,43.28,$2.55,16.97
2020-06-30,34.52,$2.76,12.51
2020-03-31,22.47,$5.05,4.45
2019-12-31,58.4,$5.16,11.32
2019-09-30,46.97,$5.16,9.1
2019-06-30,49.8,$5.05,9.86
2019-03-31,52.12,$4.82,10.81
2018-12-31,47.2,$4.82,9.79
2018-09-30,60.42,$4.03,14.99
2018-06-30,56.15,$3.74,15.01
2018-03-31,61.01,$3.54,17.24
2017-12-31,67.01,$3.37,19.88
2017-09-30,57.28,$3.86,14.84
2017-06-30,56.34,$2.09,26.96
2017-03-31,68.39,$2.09,32.72
2016-12-31,65.44,$2.10,31.16
2016-09-30,60.46,$2.17,27.86
2016-06-30,50.63,$4.10,12.35
2016-03-31,53.76,$4.08,13.18
2015-12-31,42.95,$4.21,10.2
2015-09-30,45.69,$4.58,9.98
2015-06-30,67.49,$4.82,14.0
2015-03-31,68.72,$5.11,13.45
2014-12-31,74.94,$5.18,14.47
2014-09-30,76.95,$4.87,15.8
2014-06-30,84.94,$4.67,18.19
2014-03-31,81.83,$4.63,17.67
2013-12-31,89.55,$5.26,17.02
2013-09-30,75.25,$5.12,14.7
2013-06-30,66.82,$5.05,13.23
2013-03-31,71.4,$4.95,14.42
2012-12-31,66.3,$4.38,15.14
2012-09-30,56.24,$4.55,12.36
2012-06-30,56.59,$4.41,12.83
2012-03-31,64.22,$4.26,15.07
2011-12-31,52.12,$3.97,13.13
2011-09-30,32.99,$3.57,9.24
2011-06-30,53.19,$3.20,16.62
2011-03-31,61.46,$2.80,21.95
2010-12-31,51.92,$2.56,20.28
2010-09-30,38.63,$2.35,16.44
2010-06-30,33.11,$2.40,13.79
2010-03-31,34.13,$2.42,14.1
2009-12-31,26.56,$2.47,10.75
