Varonis Systems PE Ratio Historical Data,Varonis Systems PE Ratio Historical Data,Varonis Systems PE Ratio Historical Data,Varonis Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,59.24,,0.0
2024-06-30,47.97,$-0.80,0.0
2024-03-31,47.17,$-0.94,0.0
2023-12-31,45.28,$-0.92,0.0
2023-09-30,30.54,$-1.01,0.0
2023-06-30,26.65,$-1.06,0.0
2023-03-31,26.01,$-1.04,0.0
2022-12-31,23.94,$-1.14,0.0
2022-09-30,26.52,$-1.27,0.0
2022-06-30,29.32,$-1.23,0.0
2022-03-31,47.54,$-1.21,0.0
2021-12-31,48.78,$-1.12,0.0
2021-09-30,60.85,$-1.09,0.0
2021-06-30,57.62,$-1.07,0.0
2021-03-31,51.34,$-1.02,0.0
2020-12-31,54.54,$-1.00,0.0
2020-09-30,38.47,$-0.96,0.0
2020-06-30,29.49,$-0.94,0.0
2020-03-31,21.22,$-0.96,0.0
2019-12-31,25.9,$-0.87,0.0
2019-09-30,19.93,$-0.64,0.0
2019-06-30,20.65,$-0.54,0.0
2019-03-31,19.88,$-0.42,0.0
2018-12-31,17.63,$-0.34,0.0
2018-09-30,24.42,$-0.35,0.0
2018-06-30,24.83,$-0.30,0.0
2018-03-31,20.17,$-0.22,0.0
2017-12-31,16.18,$-0.17,0.0
2017-09-30,13.97,$-0.19,0.0
2017-06-30,12.4,$-0.21,0.0
2017-03-31,10.6,$-0.23,0.0
2016-12-31,8.93,$-0.23,0.0
2016-09-30,10.03,$-0.24,0.0
2016-06-30,8.01,$-0.25,0.0
2016-03-31,6.08,$-0.25,0.0
2015-12-31,6.27,$-0.29,0.0
2015-09-30,5.19,$-0.32,0.0
2015-06-30,7.36,$-0.34,0.0
2015-03-31,8.55,$-0.50,0.0
2014-12-31,10.94,$-0.40,0.0
