Advanced Energy Industries PE Ratio Historical Data,Advanced Energy Industries PE Ratio Historical Data,Advanced Energy Industries PE Ratio Historical Data,Advanced Energy Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,111.05,,46.27
2024-06-30,108.66,$2.40,45.28
2024-03-31,101.79,$2.72,37.42
2023-12-31,108.62,$3.40,31.95
2023-09-30,102.72,$3.56,28.86
2023-06-30,110.92,$4.67,23.75
2023-03-31,97.43,$5.14,18.96
2022-12-31,85.19,$5.29,16.1
2022-09-30,76.8,$5.18,14.83
2022-06-30,72.32,$3.76,19.24
2022-03-31,85.19,$3.49,24.41
2021-12-31,90.02,$3.52,25.57
2021-09-30,86.65,$3.56,24.34
2021-06-30,111.16,$4.20,26.47
2021-03-31,107.56,$4.04,26.62
2020-12-31,95.45,$3.52,27.12
2020-09-30,61.96,$2.70,22.95
2020-06-30,66.73,$1.71,39.02
2020-03-31,47.73,$1.77,26.97
2019-12-31,70.09,$1.69,41.47
2019-09-30,56.51,$1.92,29.43
2019-06-30,55.39,$2.61,21.22
2019-03-31,48.9,$2.96,16.52
2018-12-31,42.26,$3.72,11.36
2018-09-30,50.84,$2.47,20.58
2018-06-30,57.18,$3.67,15.58
2018-03-31,62.9,$3.64,17.28
2017-12-31,66.42,$3.41,19.48
2017-09-30,79.5,$5.27,15.08
2017-06-30,63.68,$3.94,16.16
2017-03-31,67.49,$3.56,18.96
2016-12-31,53.89,$3.19,16.89
2016-09-30,46.58,$2.97,15.68
2016-06-30,37.37,$2.61,14.32
2016-03-31,34.25,$-3.83,0.0
2015-12-31,27.79,$-3.87,0.0
2015-09-30,25.89,$-4.53,0.0
2015-06-30,27.06,$-4.63,0.0
2015-03-31,25.26,$1.31,19.28
2014-12-31,23.33,$1.14,20.46
2014-09-30,18.5,$1.74,10.63
2014-06-30,18.95,$1.46,12.98
2014-03-31,24.12,$0.96,25.12
2013-12-31,22.5,$0.78,28.85
2013-09-30,17.24,$0.08,215.45
2013-06-30,17.14,$0.21,81.61
2013-03-31,18.01,$0.67,26.89
2012-12-31,13.59,$0.53,25.65
2012-09-30,12.14,$0.34,35.7
2012-06-30,13.21,$0.34,38.85
2012-03-31,12.91,$0.43,30.03
2011-12-31,10.56,$0.83,12.73
2011-09-30,8.49,$1.61,5.27
2011-06-30,14.56,$1.91,7.62
2011-03-31,16.09,$1.91,8.43
2010-12-31,13.43,$1.63,8.24
2010-09-30,12.86,$0.95,13.53
2010-06-30,12.1,$0.30,40.33
2010-03-31,16.3,$-0.39,0.0
2009-12-31,14.84,$-2.44,0.0
