Amdocs PE Ratio Historical Data,Amdocs PE Ratio Historical Data,Amdocs PE Ratio Historical Data,Amdocs PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,90.94,,20.95
2024-06-30,78.49,$4.34,18.09
2024-03-31,89.34,$4.45,20.08
2023-12-31,86.42,$4.67,18.51
2023-09-30,82.67,$4.48,18.45
2023-06-30,96.23,$4.67,20.61
2023-03-31,93.07,$4.39,21.2
2022-12-31,87.7,$4.44,19.75
2022-09-30,76.32,$4.44,17.19
2022-06-30,79.63,$4.36,18.26
2022-03-31,78.21,$4.46,17.54
2021-12-31,70.86,$4.09,17.33
2021-09-30,71.34,$5.30,13.46
2021-06-30,72.55,$5.34,13.59
2021-03-31,65.49,$5.10,12.84
2020-12-31,65.92,$5.13,12.85
2020-09-30,53.1,$3.70,14.35
2020-06-30,55.99,$3.59,15.6
2020-03-31,50.28,$3.65,13.78
2019-12-31,65.65,$3.61,18.18
2019-09-30,59.88,$3.48,17.21
2019-06-30,56.0,$2.89,19.38
2019-03-31,48.58,$2.57,18.9
2018-12-31,52.31,$2.37,22.07
2018-09-30,58.67,$2.45,23.95
2018-06-30,58.63,$2.87,20.43
2018-03-31,58.88,$2.99,19.69
2017-12-31,57.57,$2.95,19.52
2017-09-30,56.36,$2.79,20.2
2017-03-31,53.08,$2.76,19.23
2016-12-31,50.51,$2.71,18.64
2016-09-30,50.0,$2.71,18.45
2016-06-30,49.72,$2.66,18.69
2016-03-31,51.86,$2.77,18.72
2015-12-31,46.69,$2.75,16.98
2015-09-30,48.52,$2.83,17.14
2017-06-30,56.29,$3.07,18.34
2015-06-30,46.43,$2.89,16.06
2015-03-31,46.13,$2.88,16.02
2014-12-31,39.43,$2.82,13.98
2014-09-30,38.65,$2.62,14.75
2014-06-30,38.9,$2.53,15.38
2014-03-31,38.88,$2.58,15.07
2013-12-31,34.4,$2.54,13.54
2013-09-30,30.46,$2.52,12.09
2013-06-30,30.73,$2.58,11.91
2013-03-31,29.93,$2.44,12.26
2012-12-31,27.96,$2.40,11.65
2012-09-30,27.03,$2.32,11.65
2012-06-30,24.26,$2.21,10.98
2012-03-31,25.77,$2.12,12.16
2011-12-31,23.28,$1.90,12.26
2011-09-30,22.13,$1.85,11.96
2011-06-30,24.8,$1.81,13.7
2010-12-31,22.42,$1.64,13.67
2010-09-30,23.39,$1.69,13.84
2010-06-30,21.91,$1.63,13.44
2010-03-31,24.57,$1.68,14.63
2009-12-31,23.28,$1.77,13.16
2009-09-30,21.94,$1.73,12.68
