Tecnoglass PE Ratio Historical Data,Tecnoglass PE Ratio Historical Data,Tecnoglass PE Ratio Historical Data,Tecnoglass PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,77.12,,24.72
2024-06-30,50.1,$3.12,16.06
2024-03-31,51.83,$3.47,14.94
2023-12-31,45.44,$3.85,11.8
2023-09-30,32.7,$4.24,7.71
2023-06-30,51.12,$4.25,12.03
2023-03-31,41.45,$3.85,10.77
2022-12-31,30.33,$3.28,9.25
2022-09-30,20.64,$2.53,8.16
2022-06-30,17.19,$1.99,8.64
2022-03-31,24.64,$1.69,14.58
2021-12-31,25.5,$1.42,17.96
2021-09-30,21.11,$1.41,14.97
2021-06-30,20.76,$1.15,18.05
2021-03-31,11.64,$1.10,10.59
2020-12-31,6.68,$0.53,12.6
2020-09-30,5.1,$0.36,14.17
2020-06-30,5.19,$0.15,34.62
2020-03-31,3.68,$-0.03,0.0
2019-12-31,7.8,$0.55,14.18
2019-09-30,7.56,$0.21,35.98
2019-06-30,5.92,$0.40,14.79
2019-03-31,6.51,$0.12,54.27
2018-12-31,7.1,$0.22,32.28
2018-09-30,8.51,$0.36,23.64
2018-06-30,7.52,$0.40,18.81
2018-03-31,8.05,$0.54,14.9
2017-12-31,6.17,$0.35,17.62
2017-09-30,5.54,$0.04,138.51
2017-03-31,8.64,$0.31,27.87
2016-12-31,9.64,$0.73,13.21
2016-09-30,9.38,$0.62,15.13
2016-06-30,8.72,$1.15,7.58
2016-03-31,9.76,$0.23,42.41
2015-12-31,10.6,$0.14,75.68
2015-09-30,10.58,$0.65,16.28
2015-06-30,9.74,$0.80,12.17
2015-03-31,7.17,$1.27,5.65
2014-12-31,7.83,$0.80,9.78
2014-09-30,8.44,$0.11,76.76
2014-06-30,9.32,$0.36,25.88
2017-06-30,7.52,$0.34,22.12
2014-03-31,8.14,$0.45,18.08
2013-12-31,6.59,$0.65,10.14
2013-09-30,7.77,0,0.0
