Herc Holdings PE Ratio Historical Data,Herc Holdings PE Ratio Historical Data,Herc Holdings PE Ratio Historical Data,Herc Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,173.08,,14.53
2024-06-30,132.69,$11.91,11.14
2024-03-31,167.54,$12.11,13.83
2023-12-31,147.55,$12.10,12.19
2023-09-30,117.27,$12.17,9.64
2023-06-30,134.27,$11.57,11.6
2023-03-31,111.07,$11.29,9.84
2022-12-31,127.74,$10.93,11.69
2022-09-30,100.41,$10.02,10.02
2022-06-30,86.74,$9.03,9.61
2022-03-31,159.97,$8.20,19.51
2021-12-31,149.33,$7.37,20.26
2021-09-30,155.49,$6.20,25.08
2021-06-30,106.6,$5.18,20.58
2021-03-31,96.39,$3.70,26.05
2020-12-31,63.17,$2.48,25.47
2020-09-30,37.68,$2.49,15.13
2020-06-30,29.23,$1.46,20.02
2020-03-31,19.46,$1.72,11.32
2019-12-31,46.55,$3.01,15.47
2019-09-30,44.24,$3.41,12.97
2019-06-30,43.6,$3.08,14.15
2018-12-31,24.72,$2.39,10.34
2018-09-30,48.7,$8.67,5.62
2018-06-30,53.59,$6.84,7.84
2018-03-31,61.78,$7.30,8.46
2017-12-31,59.56,$6.68,8.92
2019-03-31,37.08,$-2.15,0.0
2017-09-30,46.73,$-2.41,0.0
2017-06-30,37.4,$-2.75,0.0
