Cabot PE Ratio Historical Data,Cabot PE Ratio Historical Data,Cabot PE Ratio Historical Data,Cabot PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,114.88,,13.66
2024-06-30,91.52,$8.41,10.88
2024-03-31,91.82,$7.90,11.62
2023-12-31,82.76,$7.70,10.75
2023-09-30,68.3,$8.46,8.07
2023-06-30,65.58,$6.05,10.84
2023-03-31,74.71,$6.46,11.56
2022-09-30,61.68,$3.60,17.13
2022-06-30,61.29,$2.46,24.91
2022-03-31,65.39,$1.70,38.47
2021-12-31,53.45,$1.34,39.88
2021-09-30,47.36,$4.21,11.25
2022-12-31,64.85,$4.77,13.59
2021-06-30,53.44,$-0.97,0.0
2021-03-31,48.96,$-2.57,0.0
2020-12-31,41.61,$-3.88,0.0
2020-09-30,33.14,$-4.24,0.0
2020-06-30,33.76,$1.12,30.15
2020-03-31,23.58,$1.79,13.17
2019-12-31,42.49,$2.19,19.4
2019-09-30,40.23,$2.63,15.3
2019-06-30,41.98,$3.59,11.69
2019-03-31,36.32,$4.44,8.18
2018-12-31,37.2,$1.25,29.76
2018-09-30,54.33,$-1.87,0.0
2018-06-30,53.24,$-2.31,0.0
2018-03-31,47.76,$-3.00,0.0
2017-12-31,52.53,$0.98,53.6
2017-09-30,47.34,$3.81,12.43
2017-06-30,45.06,$3.57,12.62
2017-03-31,50.23,$3.74,13.43
2016-12-31,42.15,$3.32,12.7
2016-09-30,43.46,$2.36,18.42
2016-06-30,37.64,$2.21,17.03
2016-03-31,39.58,$-5.71,0.0
2015-12-31,33.31,$-6.06,0.0
2015-09-30,25.58,$-5.26,0.0
2015-06-30,30.03,$-5.46,0.0
2015-03-31,36.05,$2.36,15.27
2014-12-31,34.97,$2.49,14.04
2014-09-30,40.28,$3.03,13.3
2014-06-30,45.83,$3.30,13.89
2014-03-31,46.49,$3.42,13.59
2013-12-31,40.31,$3.30,12.22
2013-09-30,33.36,$2.38,14.02
2013-06-30,29.08,$2.21,13.16
2013-03-31,26.45,$2.33,11.35
2012-12-31,30.61,$5.61,5.46
2012-09-30,27.98,$6.01,4.66
2012-06-30,30.96,$6.19,5.0
2012-03-31,32.3,$6.12,5.28
2011-12-31,24.22,$3.18,7.62
2011-09-30,18.56,$3.60,5.16
2011-06-30,29.69,$3.38,8.78
2011-03-31,34.32,$3.15,10.9
2010-12-31,27.8,$3.05,9.11
2010-09-30,23.92,$2.36,10.14
2010-06-30,17.59,$1.65,10.66
2010-03-31,22.04,$0.73,30.18
2009-12-31,18.9,$-0.83,0.0
