Selective Insurance PE Ratio Historical Data,Selective Insurance PE Ratio Historical Data,Selective Insurance PE Ratio Historical Data,Selective Insurance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,98.89,,27.02
2024-06-30,93.46,$3.66,25.54
2024-03-31,108.35,$5.66,19.14
2023-12-31,98.4,$5.83,16.88
2023-09-30,101.7,$5.20,19.56
2023-06-30,94.31,$4.44,21.24
2023-03-31,93.42,$4.13,22.62
2022-12-31,86.58,$3.54,24.46
2022-09-30,79.28,$3.75,21.14
2022-06-30,84.38,$4.27,19.76
2022-03-31,86.42,$5.64,15.32
2021-12-31,78.95,$6.52,12.11
2021-09-30,72.52,$7.03,10.32
2021-06-30,77.68,$7.01,11.08
2021-03-31,69.21,$5.60,12.36
2020-12-31,63.68,$4.08,15.61
2020-09-30,48.74,$3.34,14.59
2020-06-30,49.72,$3.11,15.99
2020-03-31,46.63,$3.75,12.43
2019-12-31,60.96,$4.52,13.49
2019-09-30,70.07,$3.92,17.87
2019-06-30,69.61,$3.92,17.76
2019-03-31,58.65,$3.70,15.85
2018-12-31,56.31,$3.00,18.77
2018-09-30,58.49,$2.75,21.27
2018-06-30,50.51,$2.61,19.35
2018-03-31,55.57,$2.32,23.95
2017-12-31,53.57,$2.85,18.8
2017-09-30,48.99,$3.01,16.28
2017-06-30,45.39,$2.88,15.76
2017-03-31,42.62,$2.92,14.6
2016-12-31,38.77,$2.70,14.36
2016-09-30,35.75,$2.81,12.72
2016-06-30,34.14,$2.96,11.53
2016-03-31,32.58,$2.80,11.63
2015-12-31,29.75,$2.86,10.4
2015-09-30,27.4,$2.80,9.78
2015-06-30,24.63,$2.92,8.44
2015-03-31,25.38,$2.85,8.9
2014-12-31,23.62,$2.47,9.56
2014-09-30,19.14,$2.19,8.74
2014-06-30,21.26,$1.83,11.62
2014-03-31,19.94,$1.80,11.08
2013-12-31,23.01,$1.87,12.3
2013-09-30,20.73,$1.45,14.3
2013-06-30,19.37,$1.21,16.01
2013-03-31,20.1,$0.74,27.16
2012-12-31,16.03,$0.69,23.24
2012-09-30,15.69,$0.96,16.35
2012-06-30,14.27,$0.26,54.89
2012-03-31,14.33,$0.29,49.41
2011-12-31,14.32,$0.35,40.92
2011-09-30,10.46,$0.49,21.34
2011-06-30,12.93,$1.18,10.95
2011-03-31,13.64,$1.49,9.15
2010-12-31,14.21,$1.21,11.74
2010-09-30,12.66,$1.16,10.91
2010-06-30,11.45,$1.08,10.6
2010-03-31,12.69,$1.02,12.44
2009-12-31,12.47,$0.66,18.89
