National Beverage PE Ratio Historical Data,National Beverage PE Ratio Historical Data,National Beverage PE Ratio Historical Data,National Beverage PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,46.75,,23.03
2024-07-31,48.79,$2.03,24.03
2024-04-30,41.47,$1.81,22.91
2024-01-31,43.09,$1.71,25.2
2023-07-31,49.25,$1.68,29.32
2023-04-30,46.31,$1.53,30.27
2023-01-31,41.19,$1.50,27.46
2022-10-31,44.19,$1.60,27.62
2022-07-31,50.49,$1.54,32.79
2022-04-30,41.08,$1.58,26.0
2023-10-31,43.22,$1.80,24.01
2022-01-31,41.63,$1.75,23.79
2021-10-31,49.48,$1.81,27.34
2021-07-31,39.81,$1.94,20.58
2021-04-30,42.63,$1.74,24.5
2021-01-31,66.48,$1.61,41.42
2020-07-31,26.45,$1.57,16.9
2020-04-30,20.71,$1.39,14.9
2020-01-31,17.69,$1.29,13.77
2019-10-31,18.13,$1.27,14.33
2019-07-31,17.95,$1.36,13.25
2019-04-30,23.09,$1.51,15.34
2019-01-31,34.57,$1.62,21.41
2018-10-31,36.87,$1.79,20.6
2018-07-31,42.08,$1.71,24.61
2018-04-30,35.24,$1.51,23.42
2018-01-31,44.06,$1.38,32.04
2017-10-31,39.05,$1.20,32.54
2017-04-30,34.78,$1.15,30.24
2017-01-31,19.7,$1.03,19.22
2016-10-31,18.02,$0.89,20.36
2016-07-31,21.87,$0.79,27.87
2016-04-30,17.82,$0.66,27.01
2016-01-31,15.77,$0.60,26.28
2015-10-31,14.35,$0.58,24.96
2015-07-31,9.06,$0.55,16.63
2015-04-30,8.52,$0.53,16.23
2015-01-31,8.29,$0.53,15.64
2014-10-31,9.58,$0.51,18.78
2014-07-31,6.54,$0.51,12.82
2014-04-30,7.35,$0.48,15.48
2014-01-31,7.91,$0.47,16.82
2013-10-31,6.98,$0.49,14.4
2013-07-31,6.78,$0.48,14.13
2013-04-30,5.62,$0.51,11.12
2013-01-31,5.27,$0.50,10.53
2012-10-31,4.84,$0.50,9.78
2012-07-31,4.72,$0.49,9.73
2012-04-30,4.84,$0.48,10.19
2012-01-31,5.45,$0.47,11.59
2011-10-31,5.51,$0.80,6.93
2011-07-31,4.81,$0.76,6.37
2011-04-30,4.53,$0.72,6.29
2017-07-31,40.73,$0.73,55.79
2011-01-31,4.38,$0.42,10.43
2010-10-31,3.98,$0.40,9.94
2010-07-31,3.95,$0.38,10.41
2010-04-30,3.23,$0.36,9.09
2010-01-31,3.21,$0.33,9.72
2009-10-31,2.75,$0.31,8.88
2009-07-31,2.68,$0.73,3.7
