Murphy USA PE Ratio Historical Data,Murphy USA PE Ratio Historical Data,Murphy USA PE Ratio Historical Data,Murphy USA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,480.32,,19.42
2024-06-30,469.05,$24.73,18.97
2024-03-31,418.42,$23.83,17.56
2023-12-31,355.53,$25.51,13.94
2023-09-30,340.38,$23.72,14.35
2023-06-30,309.5,$25.31,12.23
2023-03-31,256.37,$26.82,9.56
2022-12-31,277.35,$28.10,9.87
2022-09-30,272.44,$27.12,10.05
2022-06-30,230.53,$21.82,10.57
2022-03-31,197.72,$19.08,10.36
2021-12-31,196.69,$15.01,13.1
2021-09-30,164.84,$12.94,12.74
2021-06-30,131.23,$11.23,11.69
2021-03-31,141.99,$12.17,11.67
2020-12-31,128.29,$13.08,9.81
2020-09-30,125.5,$12.46,10.07
2020-06-30,110.16,$12.37,8.91
2020-03-31,82.54,$7.65,10.79
2019-12-31,114.47,$4.89,23.41
2019-09-30,83.46,$5.73,14.57
2019-06-30,82.22,$4.93,16.68
2019-03-31,83.77,$5.50,15.23
2018-12-31,74.99,$6.50,11.54
2018-09-30,83.62,$7.70,10.86
2018-06-30,72.69,$8.22,8.84
2018-03-31,71.23,$8.15,8.74
2017-12-31,78.63,$6.91,11.38
2017-09-30,67.51,$4.47,15.1
2017-06-30,72.51,$3.73,19.44
2017-03-31,71.84,$3.39,21.19
2016-12-31,60.14,$5.55,10.84
2016-09-30,69.82,$5.99,11.66
2016-06-30,72.56,$6.24,11.63
2016-03-31,60.12,$5.66,10.62
2015-12-31,59.43,$4.08,14.57
2015-09-30,53.76,$4.63,11.61
2015-06-30,54.61,$4.58,11.92
2015-03-31,70.81,$5.56,12.74
2014-12-31,67.37,$5.27,12.78
2014-09-30,51.91,$5.14,10.1
2014-06-30,47.83,$4.67,10.24
