VERRA MOBILITY CORP PE Ratio Historical Data,VERRA MOBILITY CORP PE Ratio Historical Data,VERRA MOBILITY CORP PE Ratio Historical Data,VERRA MOBILITY CORP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.76,,48.7
2024-06-30,27.2,$0.57,47.72
2024-03-31,24.97,$0.50,49.94
2023-12-31,23.03,$0.36,63.97
2023-09-30,18.7,$0.47,39.79
2023-06-30,19.72,$0.44,44.82
2023-03-31,16.92,$0.46,36.78
2022-12-31,13.83,$0.49,28.22
2022-09-30,15.37,$0.48,32.02
2022-06-30,15.71,$0.47,33.43
2022-03-31,16.28,$0.34,47.88
2021-12-31,15.43,$0.23,67.09
2021-09-30,15.07,$0.10,150.7
2021-06-30,15.37,$-0.00,0.0
2021-03-31,13.54,$-0.12,0.0
2020-12-31,13.42,$-0.03,0.0
2020-09-30,9.66,$0.04,241.5
2020-06-30,10.28,$0.11,93.45
2020-03-31,7.14,$0.23,31.04
2019-12-31,13.99,$0.21,66.62
2019-09-30,14.35,$0.15,95.67
2019-06-30,13.09,$0.03,436.33
2019-03-31,11.9,$0.01,1190.0
2018-12-31,9.76,$0.01,976.0
2018-09-30,10.62,$0.01,1062.0
2018-06-30,10.16,$0.02,507.77
2018-03-31,10.0,$0.03,333.34
2017-12-31,9.94,$0.01,994.0
