CNA Financial PE Ratio Historical Data,CNA Financial PE Ratio Historical Data,CNA Financial PE Ratio Historical Data,CNA Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,50.73,,10.77
2024-06-30,45.65,$4.71,9.69
2024-03-31,44.57,$4.58,9.73
2023-12-31,39.36,$4.43,8.89
2023-09-30,36.22,$3.99,9.08
2023-06-30,35.19,$3.51,10.02
2023-03-31,35.19,$3.22,10.93
2022-12-31,36.75,$3.28,11.2
2022-09-30,31.76,$3.35,9.48
2022-06-30,38.28,$3.82,10.02
2022-03-31,41.08,$4.42,9.29
2021-12-31,35.4,$4.41,8.03
2021-09-30,33.42,$4.85,6.89
2021-06-30,35.92,$4.70,7.64
2021-03-31,34.96,$3.90,8.96
2020-12-31,29.75,$2.54,11.71
2020-09-30,22.66,$2.12,10.69
2020-06-30,24.03,$1.72,13.97
2020-03-31,22.87,$2.19,10.44
2019-12-31,31.44,$3.66,8.59
2019-09-30,34.29,$2.35,14.59
2019-06-30,32.53,$3.19,10.2
2019-03-31,29.73,$3.16,9.41
2018-12-31,28.72,$2.98,9.64
2018-09-30,29.48,$4.11,7.17
2018-06-30,29.27,$3.41,8.58
2018-03-31,31.43,$3.42,9.19
2017-12-31,32.33,$3.31,9.77
2017-09-30,30.46,$3.38,9.01
2017-06-30,29.38,$4.11,7.15
2017-03-31,26.47,$3.88,6.82
2016-12-31,23.61,$3.16,7.47
2016-09-30,19.45,$2.01,9.67
2016-06-30,17.62,$1.41,12.5
2016-03-31,17.91,$1.15,15.57
2015-12-31,18.13,$1.77,10.24
2015-09-30,17.89,$2.76,6.48
2015-06-30,19.44,$2.89,6.73
2015-03-31,20.95,$3.36,6.23
2014-12-31,18.56,$2.55,7.28
2014-09-30,18.12,$2.64,6.86
2014-06-30,19.13,$2.86,6.69
2014-03-31,20.1,$2.60,7.73
2013-12-31,19.58,$3.48,5.63
2013-09-30,17.35,$2.63,6.6
2013-06-30,14.74,$2.44,6.04
2013-03-31,14.68,$2.34,6.27
2012-12-31,12.5,$2.34,5.34
2012-09-30,11.9,$3.07,3.88
2012-06-30,12.24,$2.53,4.84
2012-03-31,12.88,$2.38,5.41
2011-12-31,11.69,$2.28,5.13
2011-09-30,9.78,$2.67,3.66
2011-06-30,12.59,$1.80,7.0
2011-03-31,12.77,$2.29,5.58
2010-12-31,11.65,$2.27,5.13
2010-09-30,12.05,$2.04,5.91
2010-06-30,11.01,$2.90,3.8
2009-12-31,10.33,$1.10,9.39
2009-09-30,10.39,$1.11,9.36
